,malX
Cr_1,-0.016973271719858737
Cr_2,-0.023714613193004882
Cr_3,-0.020860345702478127
Cr_4,-0.00337887884511248
Cr_5,-0.01780865301725934
Cr_6,-0.03800740831107395
Fe_1,-0.0038288271990658384
Fe_2,0.0005251115046414269
Fe_3,0.018925185917256927
Fe_4,0.03596688268448371
Fe_5,0.04731100859720233
Fe_6,0.06011549330797755
Cd_1,0.007620496552065769
Cd_2,0.01934980811661049
Cd_3,0.023967821538678304
Cd_4,0.025386430109398426
Cd_5,0.027076990589507976
Cd_6,0.029201731273876094
Zn_1,0.0033949871616750717
Zn_2,0.007615775062617573
Zn_3,0.010878613236060456
Zn_4,0.011067789845816585
Zn_5,0.009168097097554657
Zn_6,0.005013656136678864
Cu_1,0.013097291531974852
Cu_2,0.02647958220163746
Cu_3,0.03308207805466253
Cu_4,0.0454265208495462
Cu_5,0.0549530741054026
Cu_6,0.07224532632616565
Pb_1,0.0034655965301524307
Pb_2,0.009229332806134931
Pb_3,0.006468755557140211
Pb_4,0.008682546054380309
Pb_5,0.01522338780646782
Pb_6,0.0209455573238916
