,0
gene_id,serC
name,serC
operon,serC-aroA
gene_product,Lipid transport and metabolism
cog,<i>Not Available</i>
regulator,"['crp', 'lrp', 'rpoD', 'yeiE']"
link,<i>Not Available</i>
