,serC
Cr_1,0.0007152214292922356
Cr_2,0.0011580388768953009
Cr_3,0.011220956312697098
Cr_4,0.024140114713751826
Cr_5,0.032886895087185085
Cr_6,0.03659494987442436
Fe_1,-0.005038735245374179
Fe_2,-0.021105761438767356
Fe_3,-0.036988073582134816
Fe_4,-0.055717128767493816
Fe_5,-0.07021891759474258
Fe_6,-0.07822349725405567
Cd_1,-0.0022814867979553226
Cd_2,-0.00615169249508456
Cd_3,-0.009172572946773351
Cd_4,-0.007194512388795808
Cd_5,-0.005849648744379033
Cd_6,-0.00042848263435902044
Zn_1,0.0034758684002143547
Zn_2,0.012897182695230255
Zn_3,0.030784259622512886
Zn_4,0.05288581784654592
Zn_5,0.07830654241652586
Zn_6,0.10252669977534308
Cu_1,0.00486087678424248
Cu_2,0.010270428448062998
Cu_3,0.01661586271691155
Cu_4,0.019776831544130145
Cu_5,0.02117513903826916
Cu_6,0.02898981777930344
Pb_1,0.004383249464012168
Pb_2,0.009016775681404837
Pb_3,0.017306135562609005
Pb_4,0.023582240277560527
Pb_5,0.02883684921121777
Pb_6,0.036230965677421546
