,hlyE
Cr_1,0.0010751445398124305
Cr_2,0.009774416543575295
Cr_3,0.016813243506923762
Cr_4,0.02694138955266671
Cr_5,0.02804443221983217
Cr_6,0.029093739948060256
Fe_1,-0.003515814549529184
Fe_2,-0.030302438233995213
Fe_3,-0.06854572743203842
Fe_4,-0.11910197256758845
Fe_5,-0.15708326730268574
Fe_6,-0.18891225382479165
Cd_1,0.002032725695339528
Cd_2,0.0026311740761395994
Cd_3,0.003166523376027323
Cd_4,0.01021875732232347
Cd_5,0.013684582511299349
Cd_6,0.026148833824045845
Zn_1,0.009814780364364664
Zn_2,0.02436231010287359
Zn_3,0.03902189630274668
Zn_4,0.05752517465839513
Zn_5,0.07161475199785468
Zn_6,0.08496133668894516
Cu_1,-0.0013181901612195404
Cu_2,0.0014923229631586498
Cu_3,0.0012264112049176767
Cu_4,0.004616007873930933
Cu_5,0.010172263206061995
Cu_6,0.010014398467940756
Pb_1,0.005459274441907856
Pb_2,0.020487288361422558
Pb_3,0.03470578585183928
Pb_4,0.04562178086870708
Pb_5,0.055449998084298284
Pb_6,0.0685421436053895
