,ybgE
Cr_1,0.00017431335974171376
Cr_2,0.007005633831028843
Cr_3,0.011941780405494552
Cr_4,0.014945273772671422
Cr_5,0.014775698383709568
Cr_6,0.012140197478362732
Fe_1,-0.007626578340770238
Fe_2,-0.019331131320466315
Fe_3,-0.02880523701321985
Fe_4,-0.0355126130868007
Fe_5,-0.04039211091163406
Fe_6,-0.04001849155034157
Cd_1,0.0007960812324696899
Cd_2,0.0008645151649251447
Cd_3,0.0006000298091736173
Cd_4,-0.0012228891800085196
Cd_5,-0.011002056073213877
Cd_6,-0.01110476725240324
Zn_1,-0.004589329016156717
Zn_2,-0.012981677172071477
Zn_3,-0.010646662674023423
Zn_4,-0.005859934807603509
Zn_5,-0.001236805912475419
Zn_6,0.0008749550412003199
Cu_1,0.005435623583431352
Cu_2,0.005447292468288038
Cu_3,0.008709309036701396
Cu_4,0.017533022182966294
Cu_5,0.01736592242978917
Cu_6,0.02017549831267574
Pb_1,0.006138835740106482
Pb_2,0.00969488908847822
Pb_3,0.016003778985740874
Pb_4,0.027050368506879387
Pb_5,0.03376729086555518
Pb_6,0.0395776804493984
