,ygjV
Cr_1,-0.00039617429975331067
Cr_2,0.006635051938078039
Cr_3,0.010209118830106455
Cr_4,0.014362276006498947
Cr_5,0.016362180582129366
Cr_6,0.012043027589962143
Fe_1,-0.014614868920925637
Fe_2,-0.03209403036675384
Fe_3,-0.052125173412876084
Fe_4,-0.07269286746464998
Fe_5,-0.08772917380351428
Fe_6,-0.09918936264903634
Cd_1,0.0020496758365833377
Cd_2,0.007858939976258049
Cd_3,0.015862026512064746
Cd_4,0.019173155976197842
Cd_5,0.02176021396413425
Cd_6,0.027311734522786048
Zn_1,-0.0019673524823037368
Zn_2,-0.005127076313668321
Zn_3,-0.000724691844436281
Zn_4,0.002895139381833995
Zn_5,0.004096688847364349
Zn_6,0.003565729155968947
Cu_1,0.0035301359679009506
Cu_2,0.01462213608671586
Cu_3,0.023792626731006752
Cu_4,0.02684598857387384
Cu_5,0.03696487620603744
Cu_6,0.04358741741561152
Pb_1,0.0045709774120174865
Pb_2,0.009258556871554037
Pb_3,0.018673386445400928
Pb_4,0.03564274614380797
Pb_5,0.056877401732207226
Pb_6,0.07565807823347266
