,-0.056231696068948,-0.028115848034473995,6.938893903907228e-18,0.028115848034474006,0.05623169606894801,0.084347544103422,0.11246339213789601,0.14057924017237,0.16869508820684403,0.196810936241318,0.224926784275792,0.253042632310266,0.28115848034474,0.30927432837921404,0.337390176413688,0.36550602444816205,0.393621872482636,0.42173772051711,0.44985356855158404,0.477969416586058
thresh,-0.042173772051711,0.042173772051711,2,,,,,,,,,,,,,,,,,
unreg,1,131,3894,85,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RpoH,0,3,72,31,9,7,4,2,4,2,3,2,1,0,0,0,0,0,0,0
unreg_genes,['malE'],[],[],[],['soxR' 'mfd'],['insL-3' 'insL-2' 'tusB' 'insL-1'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
RpoH_genes,[],['yjhB' 'ptsI' 'yjhC'],"['mhpT' 'crr' 'rnlA' 'tadA' 'yccE' 'mutL' 'yjiT' 'waaC' 'yfjV' 'yciH'
 'alaA' 'ppiD' 'mpaA' 'metA' 'mngB' 'ptsH' 'mngA' 'raiA' 'creC' 'recJ'
 'casD' 'waaF' 'ydeO' 'pyrF' 'ycjY' 'cas1' 'ybfE' 'pgpA' 'yjaZ' 'yehX'
 'yjhG' 'trmA' 'rfaD' 'creB' 'creA' 'yafU' 'yehR' 'yehW' 'ispH' 'pgpC'
 'casE' 'yjhI' 'yjhH' 'osmF' 'tyrR' 'yceJ' 'adiC' 'yehY' 'xerD' 'slt'
 'yfbR' 'fkpB' 'cas2' 'sdaA' 'dsbC' 'narP' 'waaL' 'cra' 'mbiA' 'can'
 'yiaA' 'rdgB' 'pncC' 'lspA' 'glnS' 'pphA' 'yggW' 'valS' 'ileS' 'yceI'
 'ackA' 'phoQ']","['hfq' 'ymjC' 'phoP' 'lipB' 'thiL' 'nusB' 'yafD' 'rpmE' 'yafE' 'ynfK'
 'holC' 'hflX' 'ribE' 'lapA' 'hflC' 'clpX' 'ftsH' 'rapA' 'hflK' 'ydhQ'
 'yrdA' 'mlc' 'yibA' 'lapB' 'lnt' 'nfuA' 'clpP' 'ybeX' 'htpX' 'topA'
 'rpoD']",['rlmE' 'yeaD' 'miaA' 'ldhA' 'bssS' 'gapA' 'yrfG' 'zntR' 'yhdN'],['ybeY' 'rsmJ' 'lon' 'hspQ' 'ybeZ' 'prlC' 'ybeD'],['hslO' 'cnoX' 'mutM' 'hslR'],['grpE' 'hslU'],['hslV' 'ycjF' 'fxsA' 'ycjX'],['clpB' 'dnaJ'],['groS' 'groL' 'htpG'],['dnaK' 'ibpA'],['ibpB'],[],[],[],[],[],[],[]
