,cld
Cr_1,0.002074422625075843
Cr_2,0.004763177637994023
Cr_3,0.005079818110657687
Cr_4,0.00733291239623437
Cr_5,0.009179519772660266
Cr_6,0.01181078315665526
Fe_1,-0.009045396121549669
Fe_2,-0.02220847596204803
Fe_3,-0.022277736298934682
Fe_4,-0.023801963341815228
Fe_5,-0.02209552088549656
Fe_6,-0.013195326048871131
Cd_1,0.002488215905933202
Cd_2,0.0055848502958664075
Cd_3,0.007746331678547147
Cd_4,0.010082038231726095
Cd_5,0.010846272834441069
Cd_6,0.015339554493428822
Zn_1,-0.0007184828978232799
Zn_2,0.005707623474498564
Zn_3,0.023137022748450416
Zn_4,0.023655951696967475
Zn_5,0.02838301354374265
Zn_6,0.0449066964631708
Cu_1,-0.0014352202946283606
Cu_2,-0.00011308281645943027
Cu_3,0.00575944312394964
Cu_4,0.009849793225229305
Cu_5,0.015213785535371312
Cu_6,0.019755016262605268
Pb_1,0.001394946294611352
Pb_2,0.009493518219186904
Pb_3,0.007579795651004388
Pb_4,0.01412452788672798
Pb_5,0.029613489660602257
Pb_6,0.03628176986355538
