,yhdY
Cr_1,0.008168949183769108
Cr_2,0.017586555330274457
Cr_3,0.027517872624824108
Cr_4,0.02886835828585265
Cr_5,0.0341488987147968
Cr_6,0.049534018051303065
Fe_1,-0.0030490456141792762
Fe_2,-0.0036043519254768037
Fe_3,-0.0048539888688205355
Fe_4,-0.0042663044921638655
Fe_5,-0.0019193194987561567
Fe_6,0.0025498243289564988
Cd_1,0.060863694606280064
Cd_2,0.11694843963791107
Cd_3,0.14883144983318794
Cd_4,0.1777441763830211
Cd_5,0.19423735240451975
Cd_6,0.2058287305439168
Zn_1,-0.006719072453745875
Zn_2,-0.004824912690353263
Zn_3,0.003901399546036324
Zn_4,0.009593373974478445
Zn_5,0.009891784069803409
Zn_6,0.011238811845078326
Cu_1,0.0047532627565032
Cu_2,0.0086459957956438
Cu_3,0.014392390468339391
Cu_4,0.016415133644288926
Cu_5,0.017163906190364196
Cu_6,0.02450538279483177
Pb_1,0.000773716827585309
Pb_2,0.00490548722535036
Pb_3,0.00301754424914442
Pb_4,-0.003340736132079225
Pb_5,-0.0035289935883040273
Pb_6,-0.004058012118936587
