,sraB
Cr_1,0.0031030439885194943
Cr_2,-0.0021532798703115448
Cr_3,-0.006090948219190279
Cr_4,-0.015462790156026075
Cr_5,-0.02334968792663257
Cr_6,-0.03240962972078042
Fe_1,0.011161489350256931
Fe_2,0.06342657917756543
Fe_3,0.12548579868629126
Fe_4,0.17782022963623328
Fe_5,0.21906144814746845
Fe_6,0.2511347136887795
Cd_1,-0.011522472772927849
Cd_2,-0.006989732440237271
Cd_3,0.0017432654436137186
Cd_4,0.009878313169545013
Cd_5,0.01069218295921557
Cd_6,0.016521255194071594
Zn_1,0.002811754361343654
Zn_2,0.011924182875242014
Zn_3,0.023989304904669974
Zn_4,0.03961887325815927
Zn_5,0.04632173247166744
Zn_6,0.04134686804663276
Cu_1,0.006873386824632404
Cu_2,0.010162605927146044
Cu_3,0.017230855531809305
Cu_4,0.01938288874061323
Cu_5,0.02575739027414097
Cu_6,0.032141161669729634
Pb_1,0.002841499888449657
Pb_2,0.0027190504010858704
Pb_3,0.007715517619718064
Pb_4,0.016192548055161925
Pb_5,0.025277046763786875
Pb_6,0.03605571410643
