,tar
Cr_1,0.0020476697436074085
Cr_2,0.011846111007145714
Cr_3,0.013560145347021164
Cr_4,0.021336565975146684
Cr_5,0.02934065296594343
Cr_6,0.031527999905352364
Fe_1,-0.01419408287878098
Fe_2,-0.039193360316712236
Fe_3,-0.06518043186833128
Fe_4,-0.10541577355578782
Fe_5,-0.13416092443080074
Fe_6,-0.14976516487664693
Cd_1,0.003532925382808291
Cd_2,0.009845434121421515
Cd_3,0.011615658823019941
Cd_4,0.004351094777594741
Cd_5,0.0015809921792881384
Cd_6,0.003407555251915781
Zn_1,-0.017265338310849112
Zn_2,-0.04995909753869582
Zn_3,-0.07444283394211659
Zn_4,-0.10878425996603354
Zn_5,-0.13048011422993708
Zn_6,-0.13514486075145454
Cu_1,4.054228274574355e-05
Cu_2,0.013807327581851951
Cu_3,0.02480377808046852
Cu_4,0.036420418364097935
Cu_5,0.038196255799457
Cu_6,0.03816928531372765
Pb_1,0.005167640907462114
Pb_2,0.001900696880436937
Pb_3,0.007125117144402593
Pb_4,0.016223547472099437
Pb_5,0.0239760889453346
Pb_6,0.03704049218513872
