,selA
Cr_1,-0.011994137581798212
Cr_2,-0.020957828879488497
Cr_3,-0.02458578010310952
Cr_4,-0.026236833589844192
Cr_5,-0.02145761050583077
Cr_6,-0.01970396751990361
Fe_1,-0.005256938192398866
Fe_2,-0.02265325794199287
Fe_3,-0.04757080189447332
Fe_4,-0.07814226691526753
Fe_5,-0.10812250807787524
Fe_6,-0.133486091634519
Cd_1,0.007010993957497196
Cd_2,0.00981651956507943
Cd_3,0.01413386955413871
Cd_4,0.019545107381163208
Cd_5,0.01963319988191344
Cd_6,0.025400977760652428
Zn_1,0.015894033626160105
Zn_2,0.02437739102676222
Zn_3,0.03272970751185445
Zn_4,0.04711625470294676
Zn_5,0.05568572998500062
Zn_6,0.06808288772763099
Cu_1,-6.302599291077415e-05
Cu_2,0.005549789081593453
Cu_3,0.009947434641004912
Cu_4,0.012375650333909277
Cu_5,0.015059256025522338
Cu_6,0.018395120349105138
Pb_1,0.00597580822175461
Pb_2,0.012827994639814341
Pb_3,0.0216980177691988
Pb_4,0.02477404464897045
Pb_5,0.033688035375988315
Pb_6,0.04430139368189365
