,oxyR
Cr_1,-0.002548401020943568
Cr_2,0.002802264950481508
Cr_3,0.011090422794185316
Cr_4,0.017373929244026625
Cr_5,0.024788162856208357
Cr_6,0.029986158733663407
Fe_1,-0.011877176472405429
Fe_2,-0.01822131857112371
Fe_3,-0.016720991975560706
Fe_4,-0.019766615191332448
Fe_5,-0.013237157159791629
Fe_6,-0.007541177514628378
Cd_1,0.0027434488713714913
Cd_2,0.006666009376097636
Cd_3,0.01232621112671197
Cd_4,0.018270747508233647
Cd_5,0.019442069980668417
Cd_6,0.02917667962783288
Zn_1,0.0020159731422078435
Zn_2,0.013370564193188508
Zn_3,0.041281727053600864
Zn_4,0.08083189382181513
Zn_5,0.12921032085328468
Zn_6,0.1718738535646757
Cu_1,0.0015555504510928488
Cu_2,0.005630739488206992
Cu_3,0.015317807325044903
Cu_4,0.02699225565405835
Cu_5,0.04251220772671927
Cu_6,0.07114986961672594
Pb_1,0.0049994780924633685
Pb_2,0.01503377654470899
Pb_3,0.031603823454177005
Pb_4,0.052573214815381776
Pb_5,0.07222608735573728
Pb_6,0.09750167955369177
