,A,Rok
R2,,0.09915385744569194
xmin,,-2.878546016775527
xmid,,0.2573118239058322
xmax,,2.0638537503741734
ystart,,-0.2937338672356924
yend,,-10.874146264261658
SRX8138083,0.2892451107045181,-0.18918617277449634
SRX8138084,-0.7901341283563753,-0.026169412858763508
SRX8138085,0.5008890176518894,0.21535558563325985
SRX8138086,0.8857832867299121,-0.3852780313398228
SRX8138087,0.10548062341689483,0.1996480886546053
SRX8138088,2.313936938073668,0.3470055602088671
ERX4111143,0.3865706115938095,-0.002537485620868196
ERX4111144,0.009755268029241593,0.09666013655399476
ERX4111145,-2.0154042661423275,0.022124735884352376
ERX4111146,-1.558492173235776,-0.13084359382655464
ERX4111148,-0.28592081173825545,0.11299540319799385
ERX4111149,-0.9364332918782836,-0.16915803044097544
ERX4111150,-1.3837291398724605,-0.08176949567790359
ERX4111151,-0.3865706115937904,0.002537485620868196
ERX4111152,-0.8484305318334052,0.05405420530990135
ERX4111153,-0.27022570054986217,-0.008437304525255485
ERX4111154,-1.5985245176799627,-0.1970837254597857
ERX4111156,-3.416581130200637,-0.06464302922380583
ERX4111157,-1.1384818919974415,-0.031608079634773745
ERX4111158,0.5413299618498773,0.22110792269770485
SRX5577041,-0.7099065048313461,0.052621520797965005
SRX5577042,0.4667547694270191,-0.08724803891014865
SRX5577043,0.9274622076192752,-0.005324971729075756
SRX5577044,-0.6843104722149319,0.03995148984126118
SRX5577045,0.3772656981827172,0.25725626007060143
SRX5577046,1.2711862211870713,-0.1715239304268419
SRX5577047,1.0599735785618831,-0.02767356426599044
SRX5577048,1.2213416339479308,-0.1026337945814042
SRX5577049,1.4069462788596596,-0.6454724945648049
SRX5577050,1.8415853390140893,-0.6370402671471833
SRX5577051,-2.0014704541926,-0.7351523342529571
SRX5577052,-2.0609040537364147,-0.8686584217982478
SRX5577053,-1.5929183004572975,-0.4693364085530227
SRX5577054,4.051604168290032,-0.3298400250809266
SRX5577055,-3.1260678192501525,-0.5890414873192737
SRX5577056,2.6706948789535816,-0.31394902727928553
SRX5577057,0.625111534227198,-0.31649070545829794
SRX5577058,2.577037637018308,-0.34447182987664604
SRX5577059,4.4275957029284365,-0.6048845481575613
SRX5577060,3.2316977810554226,-0.21664706505191944
SRX5577061,-9.352824483252926,-0.5309918177870294
