locus,gene_weight,gene_name,gene_product,cog,operon,regulator,link
ABUW_3412,0.1609002706,tatB,Sec-independent protein translocase protein,"Intracellular trafficking, secretion, and vesicular transport",,,
ABUW_1115,0.1536953412,ABUW_1115,phosphate ABC transporter%2C substrate-binding protein,Inorganic ion transport and metabolism,Op592,,
ABUW_1662,0.1511563185,ABUW_1662,hypothetical protein,No COG annotation,Op856,,
ABUW_0437,0.1411172034,ABUW_0437,hypothetical protein,No COG annotation,,,
ABUW_1117,0.13808806410000002,pstA,phosphate ABC transporter%2C permease protein,Inorganic ion transport and metabolism,Op593,,
ABUW_1116,0.13157818500000001,pstC,phosphate ABC transporter%2C permease protein (EsvD),Inorganic ion transport and metabolism,Op593,,
ABUW_3411,0.1241475806,tatA,Sec-independent protein translocase protein,"Intracellular trafficking, secretion, and vesicular transport",,,
ABUW_0038,0.1205626392,ABUW_0038,hypothetical protein,No COG annotation,,,
ABUW_1791,0.1179110317,ABUW_1791,hypothetical protein,Function unknown,Op930,,
ABUW_2270,0.1134832264,ABUW_2270,hypothetical protein,No COG annotation,Op1167,,
ABUW_3413,0.11091385770000001,tatC,twin arginine-targeting protein translocase TatC,"Intracellular trafficking, secretion, and vesicular transport",,,
ABUW_2160,0.1105861474,ABUW_2160,putative porin,Cell wall/membrane/envelope biogenesis,Op1117,,
ABUW_3414,0.1086795891,ABUW_3414,alkaline phosphatase,Function unknown,,,
ABUW_1538,0.0938033222,ABUW_1538,hypothetical protein,No COG annotation,,,
ABUW_3039,0.0936968772,ABUW_3039,acyl-CoA N-acyltransferase,Function unknown,,,
ABUW_3619,0.0923871401,phoU,phosphate transport system regulatory protein PhoU,Inorganic ion transport and metabolism,,,
ABUW_3059,0.0872841848,ABUW_3059,hypothetical protein,Function unknown,,,
ABUW_0106,0.0866360888,phoB,phosphate regulon transcriptional regulatory protein PhoB,Transcription,Op64,,
ABUW_1118,0.08587874320000001,pstB,phosphate ABC transporter%2C ATP-binding protein,Inorganic ion transport and metabolism,Op594,,
ABUW_2143,0.082888818,ABUW_2143,hypothetical protein,Function unknown,,,
