,TF,gene_id,effect
91,SigM,BSU18190,sigma factor
92,SigM,BSU09510,sigma factor
93,SigM,BSU09520,sigma factor
94,SigM,BSU04570,sigma factor
95,SigM,BSU28020,sigma factor
96,SigM,BSU03240,sigma factor
97,SigM,BSU22310,sigma factor
98,SigM,BSU15260,sigma factor
99,SigM,BSU35840,sigma factor
100,SigM,BSU38260,sigma factor
101,SigM,BSU36540,sigma factor
102,SigM,BSU28010,sigma factor
103,SigM,BSU27660,sigma factor
104,SigM,BSU00830,sigma factor
105,SigM,BSU09500,sigma factor
106,SigM,BSU27170,sigma factor
107,SigM,BSU15240,sigma factor
108,SigM,BSU02920,sigma factor
109,SigM,BSU28050,sigma factor
110,SigM,BSU02890,sigma factor
111,SigM,BSU00730,sigma factor
112,SigM,BSU00850,sigma factor
113,SigM,BSU02930,sigma factor
114,SigM,BSU00590,sigma factor
115,SigM,BSU00860,sigma factor
116,SigM,BSU00570,sigma factor
117,SigM,BSU15230,sigma factor
118,SigM,BSU22980,sigma factor
119,SigM,BSU28040,sigma factor
120,SigM,BSU00870,sigma factor
121,SigM,BSU22320,sigma factor
122,SigM,BSU00620,sigma factor
123,SigM,BSU27020,sigma factor
124,SigM,BSU38120,sigma factor
125,SigM,BSU15270,sigma factor
126,SigM,BSU38530,sigma factor
127,SigM,BSU11490,sigma factor
128,SigM,BSU15220,sigma factor
129,SigM,BSU07260,sigma factor
130,SigM,BSU00910,sigma factor
131,SigM,BSU00710,sigma factor
132,SigM,BSU38280,sigma factor
133,SigM,BSU00880,sigma factor
134,SigM,BSU02940,sigma factor
135,SigM,BSU03250,sigma factor
136,SigM,BSU38520,sigma factor
137,SigM,BSU00600,sigma factor
138,SigM,BSU38540,sigma factor
139,SigM,BSU36530,sigma factor
140,SigM,BSU15250,sigma factor
141,SigM,BSU18180,sigma factor
142,SigM,BSU38250,sigma factor
143,SigM,BSU30500,sigma factor
144,SigM,BSU21920,sigma factor
145,SigM,BSU38499,sigma factor
146,SigM,BSU27650,sigma factor
147,SigM,BSU16950,sigma factor
148,SigM,BSU30510,sigma factor
149,SigM,BSU21910,sigma factor
150,SigM,BSU02900,sigma factor
151,SigM,BSU06380,sigma factor
152,SigM,BSU38270,sigma factor
153,ComK,BSU28000,activation
154,ComK,BSU10660,activation
155,ComK,BSU33480,activation
156,ComK,BSU24670,activation
157,ComK,BSU10450,activation
158,ComK,BSU40920,activation
159,ComK,BSU24710,activation
160,ComK,BSU35400,activation
161,ComK,BSU25590,activation
162,ComK,BSU10460,activation
163,ComK,BSU33280,activation
164,ComK,BSU35460,activation
165,ComK,BSU33470,activation
166,ComK,BSU25580,activation
167,ComK,BSU40900,activation
168,ComK,BSU27990,activation
169,ComK,BSU03420,activation
170,ComK,BSU06830,activation
171,ComK,BSU33260,activation
172,ComK,BSU14020,repression
173,ComK,BSU10630,activation
174,ComK,BSU41020,activation
175,ComK,BSU36310,activation
176,ComK,BSU24680,activation
177,ComK,BSU35410,activation
178,ComK,BSU35420,activation
179,ComK,BSU28020,activation
180,ComK,BSU40910,activation
181,ComK,BSU24730,activation
182,ComK,BSU24720,activation
183,ComK,BSU40890,activation
184,ComK,BSU35470,activation
185,ComK,BSU28010,activation
186,ComK,BSU35440,activation
187,ComK,BSU10420,activation
188,ComK,BSU35380,activation
189,ComK,BSU28050,activation
190,ComK,BSU10650,activation
191,ComK,BSU24700,activation
192,ComK,BSU41010,activation
193,ComK,BSU03430,activation
194,ComK,BSU33270,activation
195,ComK,BSU41000,activation
196,ComK,BSU28040,activation
197,ComK,BSU06839,activation
198,ComK,BSU02010,positive regulation
199,ComK,BSU40990,activation
200,ComK,BSU35430,activation
201,ComK,BSU35370,activation
202,ComK,BSU25570,activation
203,ComK,BSU24660,activation
204,ComK,BSU24690,activation
205,ComK,BSU28030,activation
206,ComK,BSU10620,activation
207,ComK,BSU35450,activation
208,ComK,BSU28070,activation
209,ComK,BSU16940,activation
210,ComK,BSU35390,activation
211,ComK,BSU10640,activation
212,SwrAA/2,BSU02780,activation
213,PchR,BSU35090,repression
214,PchR,BSU10730,activation
215,PchR,BSU35080,repression
216,PchR,BSU35060,repression
217,PchR,BSU35070,repression
218,GerR,BSU36060,activation
219,GerR,BSU11750,activation
220,GerR,BSU11760,activation
221,GerR,BSU36070,activation
222,GerR,BSU11740,activation
223,GerR,BSU11810,activation
224,GerR,BSU17670,repression
225,GerR,BSU36050,activation
226,GerR,BSU19790,activation
227,GerR,BSU36040,activation
228,GerR,BSU19780,activation
229,AdaA,BSU01800,positive regulation
230,AdaA,BSU01820,positive regulation
231,AdaA,BSU01810,positive regulation
232,SigL,BSU08080,sigma factor
233,SigL,BSU24030,sigma factor
234,SigL,BSU40320,sigma factor
235,SigL,BSU24080,sigma factor
236,SigL,BSU24050,sigma factor
237,SigL,BSU27070,sigma factor
238,SigL,BSU08070,sigma factor
239,SigL,BSU37780,sigma factor
240,SigL,BSU08060,sigma factor
241,SigL,BSU27030,sigma factor
242,SigL,BSU27050,sigma factor
243,SigL,BSU24040,sigma factor
244,SigL,BSU27060,sigma factor
245,SigL,BSU37770,sigma factor
246,SigL,BSU40330,sigma factor
247,SigL,BSU24090,sigma factor
248,SigL,BSU27040,sigma factor
249,SigL,BSU40340,sigma factor
250,SigL,BSU24060,sigma factor
251,SigL,BSU37790,sigma factor
252,SigL,BSU24070,sigma factor
253,SigL,BSU08090,sigma factor
254,SigL,BSU37760,sigma factor
255,MurR,BSU01680,repression
256,MurR,BSU01690,repression
257,MurR,BSU01660,repression
258,MurR,BSU01700,repression
259,MurR,BSU01670,repression
260,MurR,BSU01650,repression
261,CitT,BSU07620,activation
262,CitT,BSU07610,activation
263,AnsR,BSU23580,repression
264,AnsR,BSU23590,negative autoregulation
265,AnsR,BSU23560,repression
266,AnsR,BSU23570,repression
267,AnsR,BSU23550,repression
268,Rok,BSU37400,repression
269,Rok,BSU37410,repression
270,Rok,BSU40180,repression
271,Rok,BSU37370,repression
272,Rok,BSU39950,repression
273,Rok,BSU40610,repression
274,Rok,BSU37360,repression
275,Rok,BSU37420,repression
276,Rok,BSU10420,repression
277,Rok,BSU11920,repression
278,Rok,BSU40600,repression
279,Rok,BSU39940,repression
280,Rok,BSU37380,repression
281,Rok,BSU13490,repression
282,Rok,BSU40590,repression
283,Rok,BSU40140,repression
284,Rok,BSU14240,repression
285,Rok,BSU37390,repression
286,Rok,BSU37350,repression
287,Rok,BSU13640,repression
288,Rok,BSU21460,repression
289,Rok,BSU40580,repression
290,Rok,BSU21450,repression
291,Rok,BSU40170,repression
292,Rok,BSU40150,repression
293,Rok,BSU21470,repression
294,Rok,BSU40620,repression
295,Rok,BSU33760,repression
296,Rok,BSU21480,repression
297,Rok,BSU21440,repression
298,Rok,BSU37430,repression
299,Rok,BSU33770,repression
300,Rok,BSU33750,repression
301,Rok,BSU40160,repression
302,YrkP,BSU26440,activation
303,YrkP,BSU26420,activation
304,YrkP,BSU12880,activation
305,YrkP,BSU12890,activation
306,YrkP,BSU26450,activation
307,YrkP,BSU26410,activation
308,YrkP,BSU26430,activation
309,YfiR,BSU08380,repression
310,YfiR,BSU08370,repression
311,IolQ,BSU10850,repression
312,GerE,BSU37890,activation
313,GerE,BSU10690,repression
314,GerE,BSU36070,activation
315,GerE,BSU05570,repression
316,GerE,BSU37830,activation
317,GerE,BSU14980,activation
318,GerE,BSU30860,repression
319,GerE,BSU17310,activation
320,GerE,BSU30890,activation
321,GerE,BSU34520,activation
322,GerE,BSU32640,activation
323,GerE,BSU11320,activation
324,GerE,BSU30900,activation
325,GerE,BSU07280,activation
326,GerE,BSU11760,activation
327,GerE,BSU19490,repression
328,GerE,BSU13789,activation
329,GerE,BSU37840,activation
330,GerE,BSU37870,activation
331,GerE,BSU10600,repression
332,GerE,BSU19750,activation
333,GerE,BSU36060,repression
334,GerE,BSU37810,activation
335,GerE,BSU37900,activation
336,GerE,BSU37880,activation
337,GerE,BSU37820,activation
338,GerE,BSU11750,activation
339,GerE,new_2625913_2626090_c,transcription repression
340,GerE,BSU07300,activation
341,GerE,BSU10900,repression
342,GerE,BSU37860,activation
343,GerE,BSU19810,activation
344,GerE,BSU10610,repression
345,GerE,BSU30910,activation
346,GerE,BSU15950,activation
347,GerE,BSU37910,activation
348,GerE,BSU06300,repression
349,GerE,BSU17030,repression
350,GerE,BSU25760,repression
351,GerE,BSU19770,activation
352,GerE,BSU17670,activation
353,GerE,BSU11780,activation
354,GerE,BSU11740,activation
355,GerE,BSU28320,repression
356,GerE,BSU17700,activation
357,GerE,BSU07290,activation
358,GerE,BSU22250,activation
359,GerE,BSU10710,repression
360,GerE,BSU12090,repression
361,GerE,BSU19790,activation
362,GerE,BSU09958,activation
363,GerE,BSU30880,repression
364,GerE,BSU04110,activation
365,GerE,BSU10700,repression
366,GerE,BSU18670,repression
367,GerE,BSU06850,activation
368,GerE,BSU25710,activation
369,GerE,BSU36050,repression
370,GerE,BSU31270,repression
371,GerE,BSU11770,activation
372,GerE,BSU37850,activation
373,GerE,BSU36040,repression
374,GerE,BSU10670,repression
375,GerE,BSU39580,activation
376,GerE,BSU05550,repression
377,GerE,BSU19780,activation
378,GerE,BSU07310,activation
379,GerE,BSU10680,repression
380,GerE,BSU10720,repression
381,GerE,BSU19760,activation
382,GerE,BSU17970,repression
383,GerE,BSU32650,activation
384,GerE,BSU26390,repression
385,GerE,BSU14970,activation
386,GerE,BSU07270,activation
387,GerE,BSU30870,repression
388,GerE,BSU22200,activation
389,GerE,BSU05560,repression
390,TyrZ,BSU38450,sigma factor
391,TyrZ,BSU38460,sigma factor
392,YcbG,BSU02490,repression
393,YcbG,BSU02480,repression
394,YcbG,BSU02470,repression
395,YcbG,BSU02520,repression
396,YcbG,BSU02460,repression
397,YcbG,BSU02500,repression
398,YcbG,BSU02510,repression
399,GntR,BSU40080,repression
400,GntR,BSU40070,repression
401,GntR,BSU40060,repression
402,GntR,BSU40050,repression
403,MtlR,BSU03990,activation
404,MtlR,BSU03981,activation
405,MtlR,BSU03982,activation
406,LevR,BSU27030,activation
407,LevR,BSU27050,activation
408,LevR,BSU27060,activation
409,LevR,BSU27040,activation
410,LevR,BSU27070,activation
411,YuxN,BSU33029,repression
412,ResD,BSU03280,activation
413,ResD,BSU12290,repression
414,ResD,BSU38750,activation
415,ResD,BSU14150,activation
416,ResD,BSU22550,activation
417,ResD,BSU12280,repression
418,ResD,BSU37400,activation
419,ResD,BSU09280,repression
420,ResD,BSU37410,activation
421,ResD,BSU_misc_RNA_67,transcriptional activation
422,ResD,BSU14170,activation
423,ResD,BSU37430,activation
424,ResD,BSU03290,activation
425,ResD,BSU03300,activation
426,ResD,BSU38730,activation
427,ResD,BSU17370,activation
428,ResD,BSU23140,activation
429,ResD,BSU37370,activation
430,ResD,BSU22560,activation
431,ResD,BSU14870,activation
432,ResD,BSU22540,activation
433,ResD,BSU37360,activation
434,ResD,BSU14930,activation
435,ResD,BSU37420,activation
436,ResD,BSU17380,activation
437,ResD,BSU17390,activation
438,ResD,BSU37380,activation
439,ResD,BSU03320,activation
440,ResD,BSU37390,activation
441,ResD,BSU37350,activation
442,ResD,BSU13040,activation
443,ResD,BSU17400,activation
444,ResD,BSU14910,activation
445,ResD,BSU03750,activation
446,ResD,BSU14160,activation
447,ResD,BSU03760,activation
448,ResD,new_1399409_1400187,activation
449,ResD,BSU37310,activation
450,ResD,BSU09290,repression
451,ResD,BSU13360,activation
452,ResD,BSU14920,activation
453,ResD,BSU23130,activation
454,ResD,BSU14890,activation
455,ResD,BSU14880,activation
456,ResD,BSU03310,activation
457,ResD,BSU38760,activation
458,ResD,BSU23120,activation
459,ResD,BSU23110,activation
460,ResD,BSU38130,repression
461,ResD,BSU23150,activation
462,ResD,BSU14900,activation
463,ResD,BSU38740,activation
464,GanR,BSU34160,repression
465,GanR,BSU34120,repression
466,GanR,BSU34130,repression
467,GanR,BSU34150,repression
468,GanR,BSU34140,repression
469,GanR,BSU34170,repression
470,CcpN,BSU21820,activation
471,CcpN,BSU21810,activation
472,CcpN,BSU29020,repression
473,CcpN,BSU30560,repression
474,CcpN,BSU29010,repression
475,CcpN,BSU14629,repression
476,SigK,BSU10930,sigma factor
477,SigK,BSU19850,sigma factor
478,SigK,BSU17970,sigma factor
479,SigK,BSU30610,sigma factor
480,SigK,BSU14970,sigma factor
481,SigK,BSU30900,sigma factor
482,SigK,BSU07270,sigma factor
483,SigK,BSU30870,sigma factor
484,SigK,BSU22200,sigma factor
485,SigK,BSU00260,sigma factor
486,SigK,BSU13789,sigma factor
487,SigK,BSU14980,sigma factor
488,SigK,BSU17420,sigma factor
489,SigK,BSU00250,sigma factor
490,SigK,BSU30860,sigma factor
491,SigK,BSU17310,sigma factor
492,SigK,BSU37890,sigma factor
493,SigK,BSU26390,sigma factor
494,SigK,BSU34520,sigma factor
495,SigK,BSU32640,sigma factor
496,SigK,BSU11320,sigma factor
497,SigK,BSU37830,sigma factor
498,SigK,BSU07280,sigma factor
499,SigK,new_2625913_2626090_c,sigma factor
500,SigK,BSU19490,sigma factor
501,SigK,BSU08620,sigma factor
502,SigK,BSU25150,sigma factor
503,SigK,BSU19890,sigma factor
504,SigK,BSU30910,sigma factor
505,SigK,BSU10950,sigma factor
506,SigK,BSU11760,sigma factor
507,SigK,BSU13790,sigma factor
508,SigK,BSU34530,sigma factor
509,SigK,BSU19750,sigma factor
510,SigK,BSU36060,sigma factor
511,SigK,BSU30850,sigma factor
512,SigK,BSU37840,sigma factor
513,SigK,BSU37870,sigma factor
514,SigK,BSU10600,sigma factor
515,SigK,BSU22240,sigma factor
516,SigK,BSU16760,sigma factor
517,SigK,BSU11750,sigma factor
518,SigK,BSU00240,sigma factor
519,SigK,BSU16740,sigma factor
520,SigK,BSU10910,sigma factor
521,SigK,BSU07300,sigma factor
522,SigK,BSU37810,sigma factor
523,SigK,BSU19810,sigma factor
524,SigK,BSU37900,sigma factor
525,SigK,BSU37880,sigma factor
526,SigK,BSU17820,sigma factor
527,SigK,BSU37820,sigma factor
528,SigK,BSU14040,sigma factor
529,SigK,BSU19110,sigma factor
530,SigK,BSU10900,sigma factor
531,SigK,BSU37860,sigma factor
532,SigK,BSU13780,sigma factor
533,SigK,BSU36070,sigma factor
534,SigK,BSU12830,sigma factor
535,SigK,BSU17410,sigma factor
536,SigK,BSU10610,sigma factor
537,SigK,BSU19970,sigma factor
538,SigK,BSU10710,sigma factor
539,SigK,BSU06300,sigma factor
540,SigK,BSU19820,sigma factor
541,SigK,BSU15950,sigma factor
542,SigK,BSU37910,sigma factor
543,SigK,BSU10700,sigma factor
544,SigK,BSU19770,sigma factor
545,SigK,BSU11810,sigma factor
546,SigK,BSU09165,sigma factor
547,SigK,BSU02600,sigma factor
548,SigK,BSU11780,sigma factor
549,SigK,BSU32340,sigma factor
550,SigK,BSU19880,sigma factor
551,SigK,BSU11740,sigma factor
552,SigK,BSU16770,sigma factor
553,SigK,BSU07290,sigma factor
554,SigK,BSU19860,sigma factor
555,SigK,BSU22250,sigma factor
556,SigK,BSU12090,sigma factor
557,SigK,BSU10680,sigma factor
558,SigK,BSU19870,sigma factor
559,SigK,BSU10920,sigma factor
560,SigK,BSU26560,sigma factor
561,SigK,BSU09958,sigma factor
562,SigK,BSU17700,sigma factor
563,SigK,BSU30880,sigma factor
564,SigK,BSU00270,sigma factor
565,SigK,BSU04110,sigma factor
566,SigK,BSU18670,sigma factor
567,SigK,BSU19930,sigma factor
568,SigK,BSU12820,sigma factor
569,SigK,BSU19610,sigma factor
570,SigK,BSU19600,sigma factor
571,SigK,BSU06850,sigma factor
572,SigK,BSU25710,sigma factor
573,SigK,BSU19790,sigma factor
574,SigK,BSU10670,sigma factor
575,SigK,BSU30620,sigma factor
576,SigK,BSU28320,sigma factor
577,SigK,BSU12490,sigma factor
578,SigK,BSU10940,sigma factor
579,SigK,BSU25760,sigma factor
580,SigK,BSU05550,sigma factor
581,SigK,BSU36050,sigma factor
582,SigK,BSU31270,sigma factor
583,SigK,BSU16730,sigma factor
584,SigK,BSU11770,sigma factor
585,SigK,BSU30920,sigma factor
586,SigK,BSU17030,sigma factor
587,SigK,BSU19830,sigma factor
588,SigK,BSU17670,sigma factor
589,SigK,BSU36040,sigma factor
590,SigK,BSU19910,sigma factor
591,SigK,BSU10720,sigma factor
592,SigK,BSU37850,sigma factor
593,SigK,BSU39580,sigma factor
594,SigK,BSU19940,sigma factor
595,SigK,BSU28410,sigma factor
596,SigK,BSU30595,sigma factor
597,SigK,BSU07310,sigma factor
598,SigK,BSU16750,sigma factor
599,SigK,BSU40530,sigma factor
600,SigK,BSU19780,sigma factor
601,SigK,BSU19760,sigma factor
602,SigK,BSU19920,sigma factor
603,SigK,BSU19900,sigma factor
604,SigK,BSU26559,sigma factor
605,SigK,BSU05560,sigma factor
606,SigK,BSU10690,sigma factor
607,SigK,BSU05570,sigma factor
608,SigK,BSU00430,sigma factor
609,SigK,BSU32650,sigma factor
610,SigK,BSU30890,sigma factor
611,Xre,BSU12519,repression
612,Xre,BSU12520,repression
613,Xre,BSU12530,repression
614,Xre,BSU12539,repression
615,Xre,BSU12540,repression
616,Xre,BSU12550,repression
617,BsdA,BSU03651,activation
618,BsdA,BSU03630,activation
619,BsdA,BSU03640,activation
620,SdpR,BSU32840,activation
621,SdpR,BSU32830,activation
622,SdpR,BSU32820,activation
623,SdpR,BSU33790,repression
624,SdpR,BSU32850,activation
625,SdpR,BSU33780,repression
626,Spo0A,BSU16330,repression
627,Spo0A,BSU16430,repression
628,Spo0A,BSU35520,repression
629,Spo0A,BSU17910,activation
630,Spo0A,BSU16440,repression
631,Spo0A,BSU24600,activation
632,Spo0A,BSU16270,repression
633,Spo0A,BSU16400,repression
634,Spo0A,BSU24930,repression
635,Spo0A,BSU16410,repression
636,Spo0A,BSU16320,repression
637,Spo0A,BSU14140,activation
638,Spo0A,BSU31740,repression
639,Spo0A,BSU14490,activation
640,Spo0A,BSU00380,repression
641,Spo0A,BSU29630,activation
642,Spo0A,BSU25890,activation
643,Spo0A,BSU16180,repression
644,Spo0A,BSU35510,repression
645,Spo0A,BSU29200,activation
646,Spo0A,BSU38400,activation
647,Spo0A,BSU27370,repression
648,Spo0A,BSU14110,activation
649,Spo0A,BSU36250,activation
650,Spo0A,BSU00370,repression
651,Spo0A,BSU10750,activation
652,Spo0A,BSU16240,repression
653,Spo0A,BSU40320,repression
654,Spo0A,BSU15320,activation
655,Spo0A,BSU01920,activation
656,Spo0A,BSU15380,repression
657,Spo0A,BSU03220,activation
658,Spo0A,BSU16260,repression
659,Spo0A,BSU36230,activation
660,Spo0A,BSU16450,repression
661,Spo0A,BSU16310,repression
662,Spo0A,BSU15330,activation
663,Spo0A,BSU16470,repression
664,Spo0A,BSU16210,repression
665,Spo0A,BSU38100,repression
666,Spo0A,BSU01950,activation
667,Spo0A,BSU03210,activation
668,Spo0A,BSU16480,repression
669,Spo0A,BSU15410,repression
670,Spo0A,BSU12440,repression
671,Spo0A,BSU16300,repression
672,Spo0A,BSU16460,repression
673,Spo0A,BSU22280,activation
674,Spo0A,BSU16380,repression
675,Spo0A,BSU14500,activation
676,Spo0A,BSU15400,repression
677,Spo0A,BSU16290,repression
678,Spo0A,BSU16299,repression
679,Spo0A,BSU16420,repression
680,Spo0A,BSU37130,activation
681,Spo0A,BSU07460,activation
682,Spo0A,BSU16370,repression
683,Spo0A,BSU39880,activation
684,Spo0A,BSU16280,repression
685,Spo0A,BSU32760,activation
686,Spo0A,BSU23460,activation
687,Spo0A,BSU16340,repression
688,Spo0A,BSU00010,repression
689,Spo0A,BSU11300,repression
690,Spo0A,BSU14240,repression
691,Spo0A,BSU16390,repression
692,Spo0A,BSU16200,repression
693,Spo0A,BSU01980,activation
694,Spo0A,BSU16250,repression
695,Spo0A,BSU37030,activation
696,Spo0A,BSU23470,activation
697,Spo0A,BSU15390,repression
698,Spo0A,BSU16360,repression
699,Spo0A,BSU12850,repression
700,Spo0A,BSU11310,repression
701,Spo0A,BSU38110,repression
702,Spo0A,BSU15420,repression
703,Spo0A,BSU03200,activation
704,Spo0A,BSU14120,activation
705,Spo0A,BSU23450,activation
706,Spo0A,BSU22270,activation
707,Spo0A,BSU39870,activation
708,Spo0A,BSU36260,activation
709,Spo0A,BSU38530,repression
710,Spo0A,BSU16350,repression
711,Spo0A,BSU32770,activation
712,Spo0A,BSU06570,activation
713,Spo0A,BSU09420,repression
714,Spo0A,BSU12430,repression
715,Spo0A,BSU26050,transcription activation
716,Spo0A,BSU25860,activation
717,Spo0A,BSU24220,repression
718,Spo0A,BSU10420,activation
719,Spo0A,BSU01910,activation
720,Spo0A,BSU25870,activation
721,Spo0A,BSU40330,repression
722,Spo0A,BSU12840,repression
723,Spo0A,BSU38520,repression
724,Spo0A,BSU19640,activation
725,Spo0A,BSU17890,repression
726,Spo0A,BSU00020,repression
727,Spo0A,BSU19210,activation
728,Spo0A,BSU25200,repression
729,Spo0A,BSU38540,repression
730,Spo0A,BSU25210,repression
731,Spo0A,BSU24610,activation
732,Spo0A,BSU33760,activation
733,Spo0A,BSU36240,activation
734,Spo0A,BSU40340,repression
735,Spo0A,BSU14510,activation
736,Spo0A,BSU17900,activation
737,Spo0A,BSU38499,repression
738,Spo0A,BSU16190,repression
739,Spo0A,BSU00640,activation
740,Spo0A,BSU00110,repression
741,Spo0A,BSU25880,activation
742,Spo0A,BSU10760,activation
743,Spo0A,BSU29210,activation
744,Spo0A,BSU40970,repression
745,Spo0A,BSU_misc_RNA_72,unknown
746,Spo0A,BSU13990,activation
747,Spo0A,BSU33770,activation
748,Spo0A,BSU14100,activation
749,Spo0A,BSU06580,activation
750,Spo0A,BSU01935,activation
751,Spo0A,BSU15310,activation
752,Spo0A,BSU00120,repression
753,Spo0A,BSU25230,repression
754,Spo0A,BSU14130,activation
755,Spo0A,BSU16220,repression
756,Spo0A,BSU15370,repression
757,Spo0A,BSU33750,activation
758,Spo0A,BSU01960,activation
759,Spo0A,BSU24940,repression
760,Spo0A,BSU38500,repression
761,Spo0A,BSU40960,repression
762,Spo0A,BSU35260,repression
763,Spo0A,BSU00390,repression
764,Spo0A,BSU35250,repression
765,Spo0A,BSU01970,activation
766,Spo0A,BSU16230,repression
767,Spo0A,BSU07450,activation
768,Spo0A,BSU38510,repression
769,Spx,BSU22470,activation
770,Spx,BSU27240,activation
771,Spx,BSU15120,activation
772,Spx,BSU31290,activation
773,Spx,BSU00720,activation
774,Spx,BSU03510,repression
775,Spx,BSU31370,activation
776,Spx,BSU22490,activation
777,Spx,BSU22440,activation
778,Spx,BSU19470,activation
779,Spx,BSU03520,repression
780,Spx,BSU38100,activation
781,Spx,BSU29830,activation
782,Spx,BSU00730,activation
783,Spx,BSU30340,activation
784,Spx,BSU00700,activation
785,Spx,BSU14710,activation
786,Spx,BSU34790,activation
787,Spx,BSU14740,activation
788,Spx,BSU15110,activation
789,Spx,BSU21690,activation
790,Spx,BSU11550,activation
791,Spx,BSU27250,activation
792,Spx,BSU29480,activation
793,Spx,BSU03480,repression
794,Spx,BSU14730,activation
795,Spx,BSU19460,activation
796,Spx,BSU03490,repression
797,Spx,BSU14720,activation
798,Spx,BSU19479,activation
799,Spx,BSU29840,activation
800,Spx,BSU38110,activation
801,Spx,BSU03500,repression
802,Spx,BSU29820,activation
803,Spx,BSU11560,activation
804,Spx,BSU27270,activation
805,Spx,BSU29490,activation
806,Spx,BSU21680,activation
807,Spx,BSU27280,activation
808,Spx,BSU22460,activation
809,Spx,BSU28500,activation
810,Spx,BSU27260,activation
811,Spx,BSU22500,activation
812,Spx,BSU22450,activation
813,Spx,BSU00710,activation
814,Spx,BSU22480,activation
815,DtrR,BSU38450,repression
816,DtrR,BSU38460,repression
817,HrcA,BSU25480,repression
818,HrcA,BSU25430,repression
819,HrcA,BSU25450,repression
820,HrcA,BSU06020,repression
821,HrcA,BSU25460,repression
822,HrcA,BSU25440,repression
823,HrcA,BSU25470,repression
824,HrcA,BSU25490,repression
825,HrcA,BSU06030,repression
826,SigA,BSU35230,sigma factor
827,SigA,BSU35690,sigma factor
828,SigA,BSU12930,sigma factor
829,SigA,BSU32500,sigma factor
830,SigA,BSU03350,sigma factor
831,SigA,BSU32610,sigma factor
832,SigA,BSU05450,sigma factor
833,SigA,BSU12900,sigma factor
834,SigA,BSU36900,sigma factor
835,SigA,BSU05500,sigma factor
836,SigA,BSU19480,sigma factor
837,SigA,BSU28700,sigma factor
838,SigA,BSU03340,sigma factor
839,SigA,BSU28030,sigma factor
840,SigA,BSU31890,sigma factor
841,SigA,BSU35490,sigma factor
842,SigA,BSU28140,sigma factor
843,SigA,BSU40350,sigma factor
