,yjcH
Cr_1,0.005384899438316876
Cr_2,0.00938678351596194
Cr_3,0.010816559337964118
Cr_4,0.015269029422815175
Cr_5,0.015141683622237966
Cr_6,0.019760041496122552
Fe_1,-0.006400241265691474
Fe_2,-0.022914800363834267
Fe_3,-0.036117077689234084
Fe_4,-0.05171181075083908
Fe_5,-0.05823682323881413
Fe_6,-0.05627595502736925
Cd_1,-0.000817043785705047
Cd_2,-0.0016784594414446154
Cd_3,-0.0014697422155017725
Cd_4,-0.0023247313191739377
Cd_5,-0.005976361745368579
Cd_6,-0.005020037319188122
Zn_1,-0.011009701006727251
Zn_2,-0.0172490826764674
Zn_3,-0.009600477089933352
Zn_4,0.0007659110854128327
Zn_5,0.012295059530640978
Zn_6,0.017989654786765466
Cu_1,0.004210356059115882
Cu_2,0.008687108670852204
Cu_3,0.00923218539761435
Cu_4,0.008469366164401243
Cu_5,0.011269538889478924
Cu_6,0.015044772833287772
Pb_1,0.006742941258881917
Pb_2,0.013084350432380754
Pb_3,0.018563737626149008
Pb_4,0.026919525674416613
Pb_5,0.035638916831432374
Pb_6,0.047192111423666666
