,ompX
Cr_1,-0.0006025737444012193
Cr_2,0.006230979971185779
Cr_3,0.01801573710370095
Cr_4,0.021351631779910625
Cr_5,0.033493436148555704
Cr_6,0.04483420094964553
Fe_1,-0.013873313756696523
Fe_2,-0.02898961984197161
Fe_3,-0.0496340635233097
Fe_4,-0.06789200193017954
Fe_5,-0.08173932333122698
Fe_6,-0.09428839173770312
Cd_1,0.02783797722870247
Cd_2,0.06110090233878091
Cd_3,0.10606676068945653
Cd_4,0.16275204377632627
Cd_5,0.23128679737942984
Cd_6,0.3042706210823649
Zn_1,-0.01603212386785717
Zn_2,-0.03139754209832809
Zn_3,-0.039581131475009
Zn_4,-0.0454368062782926
Zn_5,-0.053630970018592274
Zn_6,-0.067435585337712
Cu_1,0.012575921759706827
Cu_2,0.025485638680795626
Cu_3,0.03656221717580791
Cu_4,0.046408571052583725
Cu_5,0.05525834298632959
Cu_6,0.06013867859136264
Pb_1,-0.0031909899810383053
Pb_2,-0.022670173234694342
Pb_3,-0.03658402857289412
Pb_4,-0.042465767953955284
Pb_5,-0.049697118877308974
Pb_6,-0.05453252532709816
