,A,BirA
R2,,0.013995139507529841
xmin,,-1.4538126270000005
xmid,,0.8770018114472242
xmax,,1.7181213323211075
ystart,,-1.5636546049501945
yend,,3.9106171361177946
control__wt_glc__1,-0.0746856176207181,-0.09474192300000084
control__wt_glc__2,0.0746856176207321,0.09474192299999996
fur__wt_dpd__1,4.597536540915094,-0.21201808499999952
fur__wt_dpd__2,4.214076301384165,-0.09071252499999982
fur__wt_fe__1,-0.6920076433282302,-0.16020168300000034
fur__wt_fe__2,-0.9302899467970966,-0.4206413009999999
fur__delfur_dpd__1,4.7793785115354055,-0.23051955100000046
fur__delfur_dpd__2,4.408377716397432,-0.09177420199999986
fur__delfur_fe2__1,2.029932936241539,-0.19451114200000053
fur__delfur_fe2__2,2.2454891023967667,0.019896297999999923
acid__wt_ph5__1,0.2820997429660244,0.29445013600000003
acid__wt_ph5__2,0.2653061612379817,0.30134217099999994
acid__delgadx_ph5__2,0.674997754007596,0.2331163700000003
acid__delgadw_ph5__1,-0.2950866164845904,0.09612654900000006
acid__delgadw_ph5__2,0.1753934908560962,0.038016045
acid__delgade_ph5__1,0.008730195281272,0.3375910169999994
acid__delgade_ph5__2,-0.0608248539534121,0.28603534600000025
oxidative__wt_pq__1,2.373488744323832,-0.09820272999999967
oxidative__wt_pq__2,2.9076577905971406,-0.24208068300000016
oxidative__deloxyr_pq__1,3.4630921084452395,0.2872124569999989
oxidative__deloxyr_pq__2,3.4647010874323136,0.2554450450000001
oxidative__delsoxr_pq__1,3.1173573547249243,0.06266941999999975
oxidative__delsoxr_pq__2,3.009087285042608,-0.08701462099999979
oxidative__delsoxs_pq__1,3.4735113880110298,-0.027417353000000592
oxidative__delsoxs_pq__2,3.2216871124557214,0.10852635
nac_ntrc__wt_csn__1,0.8349526839978355,-0.06983873300000099
nac_ntrc__wt_csn__2,1.191807370373715,0.026825328000000148
nac_ntrc__wt_cytd__1,-1.9435334387934595,-0.15996148700000035
nac_ntrc__wt_cytd__2,-2.059914257041299,-0.1522613660000003
nac_ntrc__wt_gln__1,-2.891563998226928,-0.05865234899999994
nac_ntrc__wt_gln__2,-3.106170759176461,-0.0799506989999994
nac_ntrc__bw_delnac_csn__1,3.557744721436647,0.5083857250000001
nac_ntrc__bw_delnac_csn__2,5.079544938446685,0.32197393499999993
nac_ntrc__bw_delnac_cytd__1,-0.435723689935121,0.1766203319999997
nac_ntrc__bw_delnac_cytd__2,-0.5352405130393773,0.08081485000000033
nac_ntrc__bw_delnac_gln__1,-0.1062660960219623,0.09778829600000004
nac_ntrc__bw_delnac_gln__2,-0.2862678881332104,0.009516210000000136
nac_ntrc__bw_delnac_nh4__1,0.0395844582306291,0.02479468299999965
