,Value,list
TF,XisF4,
reg_genes,0,[]
comp_genes,0,[]
both_genes,0,"['PA0718' 'coaB' 'PA0721' 'PA0727' 'PA0719' 'PA0728' 'PA0725' 'PA0726'
 'PA0724' 'PA0722' 'PA0720']"
reg_genes2,0,
comp_genes2,0,
both_genes2,11,
