,yajR
Cr_1,-0.008437793334322336
Cr_2,-0.016189413398164827
Cr_3,-0.012193465619118977
Cr_4,-0.012071686714022324
Cr_5,-0.01655896970381984
Cr_6,-0.02087417594389936
Fe_1,-0.06652108050598103
Fe_2,-0.11501798826518332
Fe_3,-0.128374656609381
Fe_4,-0.14754267165060422
Fe_5,-0.16885081051179648
Fe_6,-0.1427034196359428
Cd_1,0.004491701139533753
Cd_2,0.009394415595926395
Cd_3,0.017997984512762216
Cd_4,0.03489565944887224
Cd_5,0.03889658535568194
Cd_6,0.04454204031045978
Zn_1,-0.006341424275171843
Zn_2,-0.0008377779735347714
Zn_3,0.026129712175677
Zn_4,0.055398193254667966
Zn_5,0.08124283918186713
Zn_6,0.09403365794550383
Cu_1,0.010568294957999096
Cu_2,0.021374883573614396
Cu_3,0.03403766479348011
Cu_4,0.038627730539488515
Cu_5,0.0422117938289174
Cu_6,0.049219190480938486
Pb_1,-0.0005362649409311791
Pb_2,-0.0037631286906345
Pb_3,0.006799159575556251
Pb_4,0.01210934124434138
Pb_5,0.009777082576042723
Pb_6,0.01274559513939954
