locus,gene_weight,gene_name,gene_product,cog,operon,regulator,YonO,link
BSU_18909,0.2408045785150856,yozZ,putative phage holin (fragment),Function unknown,Op1461,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_18909
BSU_17715,0.07892442911932951,BSU_17715,hypothetical protein,No COG annotation,Op1347,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_17715
BSU_21400,0.07500093958507108,yomD,conserved protein of unknown function%3B phage SPbeta,No COG annotation,Op1713,YonO,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_21400
BSU_31321,-0.0747516758280594,mstX,atypical membrane-integrating regulator of biofilm formation (Mistic protein),Function unknown,Op2469,SinR,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_31321
BSU_25875,-0.07717277142102709,BSU_25875,hypothetical protein,No COG annotation,Op2044,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_25875
BSU_25930,-0.08289320482337141,yqcE,conserved phage protein of unknown function%3B skin element,No COG annotation,Op2049,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_25930
BSU_36739,-0.1184029456005682,BSU_36739,hypothetical protein,No COG annotation,Op2863,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_36739
BSU_21040,-0.1744752407809179,yonO,conserved protein of unknown function%3B phage SPbeta,No COG annotation,Op1674,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_21040
BSU_21370,-0.17512857278929989,yomG,putative DNA wielding protein%3B SPbeta phage,Function unknown,Op1710,YonO,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_21370
BSU_21360,-0.19303693418740386,yomH,conserved protein of unknown function%3B phage SPbeta,Function unknown,Op1709,YonO,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_21360
BSU_21430,-0.19990089405202155,bhlB,holin-like protein%3B bacteriophage SPbeta,Function unknown,Op1717,YonO,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_21430
BSU_21420,-0.2080690818767053,bhlA,holin-like protein%3B bacteriophage SPbeta,Function unknown,Op1716,YonO,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_21420
