,folB
Cr_1,0.003952413651369475
Cr_2,0.011480797745081943
Cr_3,0.01370540579891648
Cr_4,0.011674610249902885
Cr_5,0.0082188965930336
Cr_6,0.00246389412041845
Fe_1,-0.006892443119720336
Fe_2,-0.0024880904065557874
Fe_3,0.00782310888561259
Fe_4,0.014076329599681619
Fe_5,0.025109797714614114
Fe_6,0.03571373173388459
Cd_1,0.0008827846169557668
Cd_2,0.008857771169877713
Cd_3,0.012306635531952048
Cd_4,0.021044860579528517
Cd_5,0.023558832735495385
Cd_6,0.03305147514704044
Zn_1,-0.006140989922826217
Zn_2,0.0008823581350392199
Zn_3,0.013503695201533291
Zn_4,0.02693040952960738
Zn_5,0.04423354385654566
Zn_6,0.05606864134388135
Cu_1,0.008649408439785287
Cu_2,0.019834105979712042
Cu_3,0.028356783613156005
Cu_4,0.03677566236686696
Cu_5,0.04546733701917383
Cu_6,0.05536823243410445
Pb_1,0.004637230065322324
Pb_2,0.006244865935095368
Pb_3,0.010243789698100405
Pb_4,0.013741683714215231
Pb_5,0.018177118510148145
Pb_6,0.023442954103250445
