,ushA
Cr_1,0.0008566600503757662
Cr_2,0.00409745282064867
Cr_3,0.01162913507270132
Cr_4,0.015537315508545403
Cr_5,0.025406728954991912
Cr_6,0.03214484819959117
Fe_1,-0.018270831741391682
Fe_2,-0.04144906157017651
Fe_3,-0.05993564790221435
Fe_4,-0.08692998200277646
Fe_5,-0.11462652758947504
Fe_6,-0.1422296679671671
Cd_1,0.00046818699594551057
Cd_2,0.0013716785389675222
Cd_3,-0.0011081351672709717
Cd_4,-0.003146852687676768
Cd_5,-0.007189143646225731
Cd_6,-0.00800526314384723
Zn_1,0.016287126560318943
Zn_2,0.035341401928746144
Zn_3,0.04534918055087489
Zn_4,0.025599784581954336
Zn_5,-0.008396362216190077
Zn_6,-0.026542782933913184
Cu_1,0.002605313263883901
Cu_2,0.0011060290475094832
Cu_3,0.003020718539039945
Cu_4,0.005292743585469007
Cu_5,0.004030568076521543
Cu_6,0.004235281331965375
Pb_1,-0.0009555790607244062
Pb_2,0.007268567438167586
Pb_3,0.015583575288535953
Pb_4,0.01975998750216211
Pb_5,0.018972209820900858
Pb_6,0.01880448352369636
