,yhbE
Cr_1,-0.003264750695486427
Cr_2,-0.0006712575969592853
Cr_3,0.0018481122899832747
Cr_4,0.00045481126918693425
Cr_5,0.0008138188603480432
Cr_6,-0.013293378778487795
Fe_1,-0.01835820295758998
Fe_2,-0.02689875280643875
Fe_3,-0.030529455843032068
Fe_4,-0.03713183025318843
Fe_5,-0.048958060921251975
Fe_6,-0.0498905988471048
Cd_1,-0.00216959328621923
Cd_2,-0.0004694335732586301
Cd_3,-0.0006798747973484737
Cd_4,0.003830510889153226
Cd_5,-0.0020826669806943265
Cd_6,0.002317687280439578
Zn_1,0.003853322701666015
Zn_2,0.009801995188171571
Zn_3,0.02317784639752038
Zn_4,0.03321596480292228
Zn_5,0.04351567851697878
Zn_6,0.036142212714130234
Cu_1,-0.0002168263962076256
Cu_2,0.0064557362380057845
Cu_3,0.00578575873914311
Cu_4,0.010369610191128831
Cu_5,0.01178403159614858
Cu_6,0.019337536392775082
Pb_1,0.00035909584862741983
Pb_2,-0.0014373475741109995
Pb_3,-0.0045050821620422
Pb_4,0.0002527651351026365
Pb_5,-0.00025383839251531543
Pb_6,0.006504196639397347
