,flgH
Cr_1,0.0042693216967876965
Cr_2,0.007594305925713755
Cr_3,0.013546367523810564
Cr_4,0.01144074642813689
Cr_5,0.010418189781862904
Cr_6,0.00449316444176576
Fe_1,-0.0033134590799425018
Fe_2,-0.015789012080569716
Fe_3,-0.03412227411674935
Fe_4,-0.055210399581343966
Fe_5,-0.06678631029120674
Fe_6,-0.07233927718147776
Cd_1,0.002887162822756337
Cd_2,0.012381770927835321
Cd_3,0.019580266114063414
Cd_4,0.026803973622865213
Cd_5,0.02790654911353582
Cd_6,0.035595367525203384
Zn_1,-0.0023623499972275715
Zn_2,0.009108305428951571
Zn_3,0.030655953672872795
Zn_4,0.0564153663109692
Zn_5,0.07296575301326605
Zn_6,0.0948120842001724
Cu_1,0.004146111179576505
Cu_2,0.007201788917810112
Cu_3,0.016887710754269418
Cu_4,0.021081128682022467
Cu_5,0.025595138145098718
Cu_6,0.03175659347890221
Pb_1,0.005733098525257365
Pb_2,0.010193005629172127
Pb_3,0.019918683024291305
Pb_4,0.015941499825844117
Pb_5,0.0205625287665702
Pb_6,0.02718853541293361
