,acnB
Cr_1,0.0019372551953402766
Cr_2,0.006687874662868611
Cr_3,0.009550120516349993
Cr_4,0.01284586311812449
Cr_5,0.01407461751020336
Cr_6,0.010887299668196434
Fe_1,0.014171032014933487
Fe_2,0.05335847941032565
Fe_3,0.10013442590729747
Fe_4,0.13368240777136864
Fe_5,0.1555008877937641
Fe_6,0.18070554168640515
Cd_1,0.009641993199845171
Cd_2,0.018326528071935442
Cd_3,0.02615729291936837
Cd_4,0.03456813157987302
Cd_5,0.04056204595794046
Cd_6,0.051328996777994434
Zn_1,0.0022220389890797282
Zn_2,0.0025998166237668203
Zn_3,0.004134739620084042
Zn_4,0.0005911294978962065
Zn_5,-0.002896606362696117
Zn_6,-0.00450036686028631
Cu_1,0.00907407473233043
Cu_2,0.018245056635178787
Cu_3,0.029744479353725883
Cu_4,0.03732244292528517
Cu_5,0.04885458047761839
Cu_6,0.061297587374655335
Pb_1,0.004704253478978785
Pb_2,0.01259838698264889
Pb_3,0.022466602766351058
Pb_4,0.03998970838276608
Pb_5,0.059931329330130075
Pb_6,0.08375327549821708
