,condition,A_avg,A_std,n,rep1_idx,rep1_A
0,Cr__1,-0.004722601083298045,,1.0,0.0,-0.004722601083298045
1,Cr__2,-0.01638740306742579,,1.0,1.0,-0.01638740306742579
2,Cr__3,-0.0013439599073952044,,1.0,2.0,-0.0013439599073952044
3,Cr__4,0.006683289358835578,,1.0,3.0,0.006683289358835578
4,Cr__5,0.010866776578610831,,1.0,4.0,0.010866776578610831
5,Cr__6,0.013376787285241916,,1.0,5.0,0.013376787285241916
6,Fe__1,0.007561376396880809,,1.0,6.0,0.007561376396880809
7,Fe__2,-0.03819274199924555,,1.0,7.0,-0.03819274199924555
8,Fe__3,-0.03685891506520201,,1.0,8.0,-0.03685891506520201
9,Fe__4,-0.14168918195618205,,1.0,9.0,-0.14168918195618205
10,Fe__5,-0.17523467343255694,,1.0,10.0,-0.17523467343255694
11,Fe__6,-0.212801186794258,,1.0,11.0,-0.212801186794258
12,Cd__1,-6.849925811837304e-05,,1.0,12.0,-6.849925811837304e-05
13,Cd__2,0.0014756040570746227,,1.0,13.0,0.0014756040570746227
14,Cd__3,-0.003022405066448881,,1.0,14.0,-0.003022405066448881
15,Cd__4,-0.0018719816959115215,,1.0,15.0,-0.0018719816959115215
16,Cd__5,-0.015612165903650138,,1.0,16.0,-0.015612165903650138
17,Cd__6,-0.014887149036155047,,1.0,17.0,-0.014887149036155047
18,Zn__1,-0.08435721973697823,,1.0,18.0,-0.08435721973697823
19,Zn__2,7.207841425056918,,1.0,19.0,7.207841425056918
20,Zn__3,6.91654084102217,,1.0,20.0,6.91654084102217
21,Zn__4,5.226071443902441,,1.0,21.0,5.226071443902441
22,Zn__5,6.901170983371965,,1.0,22.0,6.901170983371965
23,Zn__6,7.459455449897122,,1.0,23.0,7.459455449897122
24,Cu__1,0.005527095294119902,,1.0,24.0,0.005527095294119902
25,Cu__2,0.0068795314936685465,,1.0,25.0,0.0068795314936685465
26,Cu__3,0.010730480029056948,,1.0,26.0,0.010730480029056948
27,Cu__4,0.0043542125649436055,,1.0,27.0,0.0043542125649436055
28,Cu__5,-0.00020884544622287694,,1.0,28.0,-0.00020884544622287694
29,Cu__6,0.00234565475158932,,1.0,29.0,0.00234565475158932
30,Pb__1,0.0002537530823049685,,1.0,30.0,0.0002537530823049685
31,Pb__2,0.016971848792878982,,1.0,31.0,0.016971848792878982
32,Pb__3,0.02789322475352919,,1.0,32.0,0.02789322475352919
33,Pb__4,0.02943466424223888,,1.0,33.0,0.02943466424223888
34,Pb__5,0.03672789537673255,,1.0,34.0,0.03672789537673255
35,Pb__6,0.04389808829649385,,1.0,35.0,0.04389808829649385
