,-0.5389621713075293,-0.4619675754064537,-0.3849729795053781,-0.3079783836043025,-0.23098378770322692,-0.15398919180215132,-0.07699459590107571,-1.1102230246251565e-16,0.07699459590107549,0.1539891918021511,0.2309837877032267,0.3079783836043023,0.3849729795053779,0.4619675754064535,0.5389621713075291,0.6159567672086047,0.6929513631096803,0.7699459590107559,0.8469405549118315,0.9239351508129071
thresh,-0.5774594692580671,0.5774594692580671,1,,,,,,,,,,,,,,,,,
unreg,0,0,0,0,1,1,4,1790,5,2,0,0,1,0,0,0,0,1,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['insH4'],[],[]
