,name,x,y,cog,color,link
meta,start,0.39587849691510196,,,,
zntA,zntA,2199.0,0.02519132360816002,Unknown,#1e90ff,
rpoS,rpoS,993.0,-0.005904806721955538,Unknown,#1e90ff,
rihC,rihC,915.0,0.005969877978786826,Unknown,#1e90ff,
ypfH,ypfH,699.0,0.00015808501790161246,Unknown,#1e90ff,
alsI,alsI,450.0,0.015842652451246976,Unknown,#1e90ff,
ygdQ,ygdQ,714.0,-0.0016256369859911502,Unknown,#1e90ff,
yabP,yabP,579.0,-0.0008052961539942771,Unknown,#1e90ff,
ypfJ,ypfJ,864.0,-0.002142684280406684,Unknown,#1e90ff,
talB,talB,954.0,-0.002225408258382231,Unknown,#1e90ff,
yqeI,yqeI,810.0,-0.005074357949197293,Unknown,#1e90ff,
yabI,yabI,765.0,-5.56848561973311e-05,Unknown,#1e90ff,
hda,hda,702.0,0.0004853591063874773,Unknown,#1e90ff,
talA,talA,951.0,0.009739825753495095,Unknown,#1e90ff,
ygeH,ygeH,1377.0,-0.00504134532995522,Unknown,#1e90ff,
ilvI,ilvI,1725.0,-0.010016897786408662,Unknown,#1e90ff,
yfgB,yfgB,384.0,0.0005923763831378893,Unknown,#1e90ff,
pfkB,pfkB,930.0,-0.006894666268490255,Unknown,#1e90ff,
ygeY,ygeY,1212.0,-0.008908381164073944,Unknown,#1e90ff,
secM,secM,513.0,-0.0046186628798022865,Unknown,#1e90ff,
iscS,iscS,1215.0,-0.0018431783618871125,Unknown,#1e90ff,
setB,setB,1182.0,0.0005684370966628193,Unknown,#1e90ff,
ygiL,ygiL,552.0,-0.0060963181918486965,Unknown,#1e90ff,
yacL,yacL,363.0,-0.007362043377943338,Unknown,#1e90ff,
iscR,iscR,489.0,0.010610683569684623,Unknown,#1e90ff,
crp,crp,633.0,-0.0017022362735588106,Unknown,#1e90ff,
eaeH,eaeH,872.0,-0.00021156030183192343,Unknown,#1e90ff,
proB,proB,1104.0,0.0029993053805083035,Unknown,#1e90ff,
yfjL,yfjL,1617.0,0.038818305879831316,Unknown,#1e90ff,
pdhR,pdhR,765.0,0.0003197425621328875,Unknown,#1e90ff,
ykgD,ykgD,284.0,0.004401604770682752,Unknown,#1e90ff,
aroL,aroL,525.0,0.0003101328649790957,Unknown,#1e90ff,
ydaQ,ydaQ,216.0,-0.00036709453503135585,Unknown,#1e90ff,
pykF,pykF,1413.0,0.029946973863989118,Unknown,#1e90ff,
gsk,gsk,1305.0,-0.007676894823089242,Unknown,#1e90ff,
serC,serC,1089.0,-0.002843144629150629,Unknown,#1e90ff,
yohC,yohC,588.0,0.006693545659072697,Unknown,#1e90ff,
sdhC,sdhC,390.0,0.001600896076997742,Unknown,#1e90ff,
smtA,smtA,786.0,-0.00604883334133774,Unknown,#1e90ff,
cysB,cysB,975.0,-0.00080160319164861,Unknown,#1e90ff,
csgC,csgC,333.0,0.0060130036668851975,Unknown,#1e90ff,
mngR,mngR,723.0,-0.0005623619433026759,Unknown,#1e90ff,
amiA,amiA,870.0,-0.00027131183393066746,Unknown,#1e90ff,
aroH,aroH,1047.0,-0.0005599341634660959,Unknown,#1e90ff,
mviN,mviN,511.0,0.02646726941689849,Unknown,#1e90ff,
tktA,tktA,1992.0,-0.0032433384750038385,Unknown,#1e90ff,
slp,slp,567.0,-0.013939546514302492,Unknown,#1e90ff,
ycjL,ycjL,258.0,0.013236498292535544,Unknown,#1e90ff,
ycgM,ycgM,660.0,-0.0013958609045948832,Unknown,#1e90ff,
nuoM,nuoM,1530.0,0.01715728497132659,Unknown,#1e90ff,
rfaD,rfaD,310.0,-0.006639127964153886,Unknown,#1e90ff,
ycjX,ycjX,1398.0,-0.000668925634236075,Unknown,#1e90ff,
ycjM,ycjM,1680.0,0.006564761083573103,Unknown,#1e90ff,
insB_4,insB_4,167.0,0.002086573168635368,Unknown,#1e90ff,
murC,murC,1476.0,0.005049986466765404,Unknown,#1e90ff,
yncE,yncE,1062.0,0.012966148462146521,Unknown,#1e90ff,
ycbR,ycbR,699.0,0.00029555883287684986,Unknown,#1e90ff,
hydN,hydN,528.0,-0.0009524018678348511,Unknown,#1e90ff,
mrcB,mrcB,2535.0,-0.006834833277389407,Unknown,#1e90ff,
yneJ,yneJ,882.0,0.011020536180585622,Unknown,#1e90ff,
ycbB,ycbB,615.0,0.009064551489427686,Unknown,#1e90ff,
hycB,hycB,612.0,0.0025859816395677627,Unknown,#1e90ff,
fhuA,fhuA,2244.0,0.0030663945502601565,Unknown,#1e90ff,
ydiQ,ydiQ,765.0,-0.006952093364670873,Unknown,#1e90ff,
hemG,hemG,546.0,0.0018948626285418867,Unknown,#1e90ff,
cueO,cueO,1551.0,0.10313891388475896,Unknown,#1e90ff,
rpoH,rpoH,855.0,0.004228348135948181,Unknown,#1e90ff,
b4285,b4285,1041.0,0.004374354691244662,Unknown,#1e90ff,
