,condition,A_avg,A_std,n,rep1_idx,rep1_A
0,Cr__1,-0.00661843222565949,,1.0,0.0,-0.00661843222565949
1,Cr__2,-0.023817379530519246,,1.0,1.0,-0.023817379530519246
2,Cr__3,-0.04863916609436274,,1.0,2.0,-0.04863916609436274
3,Cr__4,-0.04880587793886661,,1.0,3.0,-0.04880587793886661
4,Cr__5,-0.035043901428580285,,1.0,4.0,-0.035043901428580285
5,Cr__6,-0.06827117919921875,,1.0,5.0,-0.06827117919921875
6,Fe__1,0.026246197260916232,,1.0,6.0,0.026246197260916232
7,Fe__2,-0.011932311989367008,,1.0,7.0,-0.011932311989367008
8,Fe__3,0.11128089420497417,,1.0,8.0,0.11128089420497417
9,Fe__4,-0.12761463448405266,,1.0,9.0,-0.12761463448405266
10,Fe__5,-0.19795167267322544,,1.0,10.0,-0.19795167267322544
11,Fe__6,-0.2708675789833069,,1.0,11.0,-0.2708675789833069
12,Cd__1,0.05323687136173248,,1.0,12.0,0.05323687136173248
13,Cd__2,0.12067245543003086,,1.0,13.0,0.12067245543003086
14,Cd__3,0.12767215564846993,,1.0,14.0,0.12767215564846993
15,Cd__4,0.05769985515624285,,1.0,15.0,0.05769985515624285
16,Cd__5,0.0020759809226728976,,1.0,16.0,0.0020759809226728976
17,Cd__6,-0.05459814075380564,,1.0,17.0,-0.05459814075380564
18,Zn__1,0.010111278491094708,,1.0,18.0,0.010111278491094708
19,Zn__2,-0.03624390598386526,,1.0,19.0,-0.03624390598386526
20,Zn__3,0.00885195329785347,,1.0,20.0,0.00885195329785347
21,Zn__4,-0.07600251913070677,,1.0,21.0,-0.07600251913070677
22,Zn__5,-0.1267885348200798,,1.0,22.0,-0.1267885348200798
23,Zn__6,-0.11062604680657387,,1.0,23.0,-0.11062604680657387
24,Cu__1,-0.39542206913232797,,1.0,24.0,-0.39542206913232797
25,Cu__2,-0.4321006402373314,,1.0,25.0,-0.4321006402373314
26,Cu__3,-0.19063592150807385,,1.0,26.0,-0.19063592150807385
27,Cu__4,0.5765424239635467,,1.0,27.0,0.5765424239635467
28,Cu__5,1.2975299859046936,,1.0,28.0,1.2975299859046936
29,Cu__6,1.700488691329956,,1.0,29.0,1.700488691329956
30,Pb__1,0.02348851662129164,,1.0,30.0,0.02348851662129164
31,Pb__2,0.044426673874259005,,1.0,31.0,0.044426673874259005
32,Pb__3,0.08767314158380031,,1.0,32.0,0.08767314158380031
33,Pb__4,0.010842810310423374,,1.0,33.0,0.010842810310423374
34,Pb__5,0.08508851818740368,,1.0,34.0,0.08508851818740368
35,Pb__6,0.06371715225279331,,1.0,35.0,0.06371715225279331
