,-0.4872350731262793,-0.42633068898549437,-0.36542630484470945,-0.30452192070392453,-0.24361753656313961,-0.1827131524223547,-0.12180876828156978,-0.06090438414078486,5.551115123125783e-17,0.06090438414078497,0.12180876828156989,0.1827131524223548,0.24361753656313972,0.30452192070392464,0.36542630484470956,0.4263306889854945,0.4872350731262794,0.5481394572670641,0.6090438414078492,0.6699482255486342
thresh,-0.39587849691510196,0.39587849691510196,1,,,,,,,,,,,,,,,,,
unreg,1,0,0,0,1,0,0,9,1774,15,2,0,0,2,0,0,0,0,1,0
unreg_genes,['yoaE'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['mcrB'],[]
