locus,gene_weight,gene_name,gene_product,operon,regulator,link
mcrB,0.5896897268295288,mcrB,Defense mechanisms,mcrBC,[],
yoaE,-0.481349324285984,yoaE,Inorganic ion transport and metabolism,yoaE,['rpoD'],
