,A,PhoP
R2,,0.05755601550563727
xmin,,-4.577196616468914
xmid,,-0.11973294192416295
xmax,,2.4851887028228723
ystart,,1.3380531533275446
yend,,11.944496007569763
amb:ctrl:1,2.1413291126130454,-0.21876048795455105
amb:ctrl:2,-1.6018631407361044,-0.11540620999364393
amb:ctrl:3,-0.5394659718769534,0.3341666979481959
amb:amb:1,-1.891052500366196,-0.2546447530216982
amb:amb:2,-1.0087724694011664,0.3914768849737271
amb:amb:3,-1.5330109474567657,0.7503782081518144
ave1:ctrl_5m:1,-0.3758721846208339,0.0905577008262517
ave1:vdave1_5m:1,-0.2738207956686575,-0.6552000768118873
ave1:ctrl_20m:1,-0.6360262571045732,0.12079137593840986
ave1:vdave1_20m:1,-0.7455377506818014,-0.20490679546949853
ave1:supernatant_5m:1,0.16564338808416354,0.049229808502848194
ave1:vnave1_20m:1,-1.0453488750980382,-0.16937395251004084
ave1:supernatant_20m:1,-1.3410675686483329,-0.10661129346889453
ave1:ctrl_5m:2,0.3758721846208616,-0.0905577008262517
ave1:vdave1_5m:2,0.6582012037513498,0.005556300294374593
ave1:ctrl_20m:2,-1.5651121373424428,-0.09724914795968154
ave1:vdave1_20m:2,-0.7533333840468565,-0.3098673745848615
ave1:supernatant_5m:2,-0.14227940742049655,0.1010366644580536
ave1:vnave1_20m:2,-1.662411172436267,-0.05638672564855352
ave1:supernatant_20m:2,-0.7591840397757934,0.08518767389124537
biofilm_time:8h:1,-0.9834240916471204,-0.18478827759213967
biofilm_time:8h:2,0.7273649580273199,0.11184660513295164
biofilm_time:8h:3,0.6464941367985794,0.07103497495940836
biofilm_time:8h:4,-0.390435003178798,0.0019066974997814512
biofilm_time:12h:1,-2.788836343563983,-0.4985722874302825
biofilm_time:12h:2,-1.443865206830134,-0.225442111613714
biofilm_time:12h:3,-2.4138678465058483,-0.2673119635503456
biofilm_time:12h:4,-2.2312500214791764,-0.1805638630545285
biofilm_time:16h:1,4.540487602352388,-0.5886277709784462
biofilm_time:16h:2,4.294534210999898,-0.9052330773937792
biofilm_time:16h:3,5.084611274438544,-0.6085503588689676
biofilm_time:16h:4,5.966676352752295,-0.4416626090013054
biofilm_time:20h:1,20.90158848504701,0.19399891620871568
biofilm_time:20h:2,15.43643836806208,-0.12729184403010052
biofilm_time:20h:3,22.90988415268397,0.2582075558967301
biofilm_time:20h:4,22.966672964729604,0.1181609419125369
biofilm_time:24h:1,14.83255588297566,0.02695165147573331
biofilm_time:24h:2,27.935433266416997,0.2726167827263177
biofilm_time:24h:3,22.398486219889303,0.009062566936171912
biofilm_time:24h:4,26.83479630170772,0.13919750089467975
biofilm_time:28h:1,23.532856808288752,0.5290760859475281
biofilm_time:28h:2,30.739607283479945,0.3835745066367151
biofilm_time:28h:3,30.676263321522146,0.4183893819446851
biofilm_time:28h:4,25.292033706776493,0.12706584166615453
biofilm_time:32h:1,27.155555545951618,0.5657545955306951
biofilm_time:32h:2,21.736484409532686,0.3230731387019921
biofilm_time:32h:3,21.2894367604262,0.6700253793105304
biofilm_time:32h:4,23.212421061436793,0.5129881276377324
codY:wt:1,2.010571071183356,-0.08243920105539093
codY:wt:2,-2.010571071183347,0.08243920105539093
codY:ctrl:1,-0.27388915023304977,0.1830904027900244
codY:ctrl:2,-3.652661268275677,0.3454026725957746
codY:codYR61K:1,-5.464472557104091,-0.14154680760014404
codY:codYR61K:2,-5.991652360336787,-0.11983973588251473
codY:codYR61H:1,-2.394066706439009,-0.06602898139522928
codY:codYR61H:2,-4.916768954221476,0.09644748679668158
codY:codYF71Y:1,-7.8486092506082965,-0.1425223461254035
codY:codYF71Y:2,-2.019500481529706,-0.0892637458394816
decay:wt:1,-0.012552248844773623,-0.03768812157726753
decay:wt:2,0.09822344508759387,0.17039696678347216
decay:wt:3,-0.0856711962427432,-0.13270884520620374
decay:delpnpA:1,-3.0273892148461403,-0.7546054081343421
decay:delpnpA:2,-4.0972290151768505,-0.9048817426479414
decay:delpnpA:3,-3.6405547308329735,-0.5557704461880961
ecm_tasA:deltasA:1,-1.1689019288519331,0.5062617531927279
ecm_tasA:deltasA:2,-3.2138183484408818,0.2266810492153404
ecm_tasA:deltasA:3,0.6213278207204374,0.15366639553206785
ecm_tasA:delcssRS:1,-4.108581907808951,0.28693836407075146
ecm_tasA:delcssRS:2,-3.2843243161670026,-0.0439521834114478
ecm_tasA:delcssRS:3,-4.657957888542533,-0.11053956183274316
ecm_tasA:wt:1,-0.5580995762204161,-0.14060502231338212
ecm_tasA:wt:2,0.5580995762203914,0.14060502231338212
heatshock:wt_37C:1,-0.2944643782889048,-0.17840655252836246
heatshock:wt_37C:2,-0.17837264731888364,0.08310330855409909
heatshock:wt_37C:3,0.472837025607801,0.09530324397426516
heatshock:wt_48C:1,-0.34063151425976823,0.08239412449804195
heatshock:wt_48C:2,0.15754312243336496,0.3128411293193229
heatshock:wt_48C:3,-0.29954897270576025,0.019592913611623075
heatshock:wt_53C:1,4.619155835600752,-0.5087555320328327
heatshock:wt_53C:2,4.153246788393259,-1.4193535451431076
