,Value,list
TF,PhoP,
reg_genes,67,"['yjdB' 'ydjN' 'yycO' 'phoA' 'rapK' 'phrK' 'walM' 'tatCD' 'ykoL' 'tagA'
 'yxiO' 'comS' 'tagE' 'skfH' 'yfkN' 'glpT' 'tagB' 'skfG' 'srfAB' 'tagF'
 'treP' 'phoR' 'yycP' 'glpQA' 'tagD' 'tagG' 'skfE' 'resA' 'skfA' 'skfB'
 'ykzB' 'srfAC' 'tagH' 'refZ' 'srfAA' 'treA' 'resE' 'skfC' 'yycQ' 'srfAD'
 'bsnA' 'vpr' 'resB' 'treR' 'resC' 'tatAD' 'skfF' 'phoP' 'resD' 'hpf']"
comp_genes,18,['BSU_27786']
both_genes,17,"['pstS' 'tuaG' 'tuaF' 'pstBA' 'tuaAc' 'tuaD' 'pstA' 'pstC' 'pstBB' 'tuaC'
 'tuaB' 'tuaH' 'tuaAn' 'phoB' 'tuaE' 'phoD' 'ydhF']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
