,A,AbaM
AB5075_med__M9+AA__2.0,-0.9169198217000001,-0.4089989973
AB5075_med__M9-AA__1.0,-0.9070280744,-0.4886069108
AB5075_med__M9-AA__2.0,-1.415538152,-0.23472539990000002
AYE_adeB__WT__1.0,-0.5143427783,0.2736872504
AYE_adeB__WT__2.0,0.1650230618,-0.08747842360000001
AYE_adeB__WT__3.0,0.3493197165,-0.1862088268
AYE_adeB__adeB__1.0,0.5930634105,-0.5947009401000001
AYE_adeB__adeB__2.0,-1.8286271901000002,-0.7430695359
AYE_adeB__adeB__3.0,-1.6933660020999999,-0.5303577931
COL__0ug/ml__1.0,0.3371098877,0.8536490985
COL__0ug/ml__2.0,-0.3371098877,-0.8536490985
COL__0.25ug/ml__1.0,-0.9554068887,-0.2305848165
COL__0.25ug/ml__2.0,3.4658257632,-0.1452296305
COL__1ug/ml__1.0,-2.5346640585999998,0.12251859450000001
COL__1ug/ml__2.0,-2.8411733865,-0.4025976525
H2O2__0ug/ml__1.0,-0.51496773,-0.1639883748
H2O2__0ug/ml__2.0,0.51496773,0.1639883748
H2O2__1.25ug/ml__1.0,-4.479984117,0.1652627036
H2O2__1.25ug/ml__2.0,2.0352148038,0.2462132358
H2O2__2.5ug/ml__1.0,-2.7424489876,-0.699445948
H2O2__2.5ug/ml__2.0,-0.7564902826000001,-0.3554020802
H2O2__5ug/ml__1.0,2.6127813242,-1.1551921222
H2O2__5ug/ml__2.0,5.1461599375,-1.100984068
MRP__0ug/ml__1.0,-1.4154957029,-0.0416166521
MRP__0ug/ml__2.0,1.4154957029,0.0416166521
MRP__25ug/ml__1.0,-0.3575867746,-0.13028045700000002
MRP__25ug/ml__2.0,2.1334187455,-0.4893147572
MRP__100ug/ml__1.0,1.3008339153000001,-0.4590077923
MRP__100ug/ml__2.0,0.8733788777,-0.9757217206000001
MRP__200ug/ml__1.0,1.4995197684,-0.3470663326
MRP__200ug/ml__2.0,0.3843803387,-0.0295944248
growth__2h__1.0,1.5380016211,-0.002776768
growth__2h__2.0,-1.5380016211,0.002776768
growth__4h__1.0,-1.2031243447,-0.4643656888
growth__4h__2.0,0.3908037265,0.0242928255
growth__6h__1.0,-1.5705843596,-1.5763812462
growth__6h__2.0,-2.1911917122,-0.5037079994
growth__8h__1.0,-0.8489933941000001,-1.1136430294
growth__8h__2.0,-0.6706450331,-0.9322040112000001
growth__10h__1.0,0.43575497500000004,0.0451327357
growth__10h__2.0,1.5401416554,0.36316883580000003
mutants__WT__1.0,-0.51501948,-0.24418481700000003
mutants__WT__2.0,0.51501948,0.24418481700000003
mutants__R7__1.0,-53.92591318,-0.497691207
mutants__R7__2.0,-54.1324006367,0.150670144
mutants__gacA__1.0,1.6563627356000001,1.291282136
mutants__gacA__2.0,1.9138172205,1.222017222
vacJ_LL-37__WT__1.0,-0.16476457020000002,0.0855563012
vacJ_LL-37__WT__2.0,0.16476457020000002,-0.0855563012
vacJ_LL-37__WT+LL-37__1.0,-0.9264638906,-0.1604941001
vacJ_LL-37__WT+LL-37__2.0,0.7665477738,-0.6580583774000001
vacJ_LL-37__vacJ__1.0,1.8232301052,-0.41122042270000003
vacJ_LL-37__vacJ__2.0,0.35740331610000003,-0.4835051648
vacJ_LL-37__vacJ+LL-37__1.0,0.1699205501,-0.8599096507
vacJ_LL-37__vacJ+LL-37__2.0,1.3789346045,-0.6842511440000001
