,dsdC
Cr_1,-0.007735116169641954
Cr_2,-0.010837123318346771
Cr_3,-0.007361563788802554
Cr_4,-0.009792763024241051
Cr_5,-0.01710619778488866
Cr_6,-0.027502540033950213
Fe_1,-0.004891835319199582
Fe_2,0.0009130596958752644
Fe_3,0.01262401334680668
Fe_4,0.021187839607230963
Fe_5,0.016204606488722312
Fe_6,0.005493840449549643
Cd_1,0.009817324410945443
Cd_2,0.029704110445171295
Cd_3,0.0433134134606764
Cd_4,0.05395193079206701
Cd_5,0.06073056134785588
Cd_6,0.06960152055956671
Zn_1,-0.018575212818138682
Zn_2,-0.02574115605613424
Zn_3,-0.01781460615687553
Zn_4,-0.017742695344306
Zn_5,-0.02169799878261785
Zn_6,-0.03749646527320211
Cu_1,0.004079390982234998
Cu_2,0.0059155250413540136
Cu_3,0.010338049244090602
Cu_4,0.01717116306076196
Cu_5,0.02389305047001479
Cu_6,0.03349140113123871
Pb_1,-0.00398979291186409
Pb_2,0.00010485670990171406
Pb_3,0.003986421262033574
Pb_4,0.014111397976830468
Pb_5,0.01886086611550926
Pb_6,0.030137423588805168
