,A,FrmR
R2,,0.3977900401410811
xmin,,-3.2857956795
xmid,,-0.18140690518591415
xmax,,4.4154784825
ystart,,-0.8264212980150161
yend,,10.89670462870811
SRX1125282,-0.5537472007,-0.39375780050000003
SRX1125283,-0.5182663609,-0.28028723910000003
SRX1125284,-0.0810347253,-0.3892651516
SRX1125285,-0.025623900300000002,-0.1740349346
SRX1125286,0.46767034150000003,0.0419735742
SRX1125287,1.1470304142,0.2749536338
SRX1125288,0.1987120681,0.013775432
SRX1125289,0.1577720759,0.186787729
SRX1125290,0.25414760940000003,0.061934621100000004
SRX1125291,0.5418166295,0.2214821568
SRX1125292,0.037061234900000004,0.34371386270000004
SRX1125293,-0.4371346904,0.3079191008
SRX1125294,0.3550351326,0.3799823684
SRX1125295,-1.4550064154,-0.24114140010000001
SRX1125296,-0.3174146297,0.0042405039
SRX1125297,-0.3177630736,-0.038687624500000004
SRX1125298,-0.8739993264,-0.1511757387
SRX1125299,-0.5000656172,0.0848776983
SRX5694250,-1.6971581784,-0.8397528632
SRX5694251,-1.2093514389,-0.5195452963
SRX5694252,1.1567572862,-0.3674612682
SRX5694253,-2.0882901819,-1.0224555044
SRX5694254,-0.7926781636,-0.2272691846
SRX5694255,10.0956167535,0.5485155854
SRX5694256,0.4027414123,0.11988522300000001
SRX5694257,-1.9562236647,-0.5370789477
SRX5694258,-2.0725045625,-1.1569442653
SRX5694259,4.3417644653,1.9303260579
SRX5694260,0.5987421175000001,-0.2958550471
SRX5694261,1.5599556118,0.1837087567
SRX5694262,-0.34136850100000005,1.2146799669
SRX5694263,0.4738941273,-0.2003268511
SRX5694264,-0.4359114968,-0.2103435814
SRX5694265,0.2186923393,-0.2877099057
SRX5694267,-2.4465520128,-0.8178270777000001
SRX5694268,1.5146023161,-0.1928530748
SRX5694269,-0.1147740871,-0.1993152139
SRX5694271,-0.1993557902,-0.10563012670000001
SRX5694273,1.9503824896,-1.1325044992
SRX5694274,0.7949623748,-0.8180397218000001
SRX5694275,1.598846094,-1.6168979588
SRX5694276,1.413525426,0.337110464
SRX5694277,0.3240592437,-1.0804858046999999
SRX5694278,-0.8942625685000001,-1.445623452
SRX5694279,0.5925474686000001,-0.6078783698
SRX5694280,1.0298989401,-1.6075257854
SRX5694281,0.7161669845,-0.8015204644
SRX5694282,-0.4725730562,0.1790976413
SRX5694283,1.8430428617999999,-0.21593343710000001
SRX5694284,1.9298987704,-0.1989965867
SRX5694285,1.8582806298,-1.2946768277
SRX5694286,2.6370357593,-1.1385169702
SRX5694287,1.6047718664000001,0.7068958598
SRX5694288,0.7179869146000001,-0.1859034047
SRX5694289,-0.7325978999,-0.5743553141000001
SRX5694290,0.2521607114,-0.19314860080000001
SRX5694291,9.9779806717,0.48104649460000004
SRX5694292,0.4995558613,-0.6527530512
SRX5694293,0.21885402780000002,-0.0668484063
SRX5694294,-2.8260025018,-1.3029761158
SRX5694295,4.8532107331,0.4764969895
SRX5694296,-1.4088740629,-0.47950736380000003
SRX5694297,0.7466261324,0.5308752014
SRX5694298,1.6035826414,-1.262862025
SRX5694299,-1.6005198964,-0.4218027485
SRX5694300,0.4194209575,0.0903590528
SRX5694301,0.912043822,-0.7729033932
SRX5694302,0.36567435810000004,-0.2639075255
SRX5694303,0.6903222878,-0.20212281
SRX5694304,1.2941307053,0.1081528367
SRX5694305,-1.4158827919,-0.754925091
SRX5694306,-2.8606090075,-1.562259933
SRX5694307,-0.7797823257000001,0.2047982871
SRX5694308,0.2775371035,-0.1532824287
SRX5694309,0.9884210956,0.8439828991
SRX5694310,2.2259160686,-1.1332916092
SRX5694311,3.8847815155000003,1.6721909801
SRX5694312,2.3227136267,0.7544025238000001
SRX5694313,5.8480614171,1.0456372792
SRX5694315,1.2142920787,0.0463096848
SRX5694317,1.4645121048,-0.13151688720000002
SRX5694319,0.227926132,-0.1859495702
SRX5694320,10.4954034043,0.9932322557000001
SRX5694321,-1.6738053640000001,-0.7706359422
SRX5694322,-1.5755950435,0.20885026710000001
SRX5694323,-1.7891460759000002,-0.477572119
SRX5694324,-1.0008943966,-0.5136960037
SRX5694325,0.6138952443,-0.1495878968
SRX5694326,0.6587594503,-0.1114713038
SRX5694327,2.3503833814,-0.6526299959
SRX5694328,0.6858536023,0.1689759653
SRX5694329,-1.7462540421,-0.1930351274
SRX5694330,0.6174601152,0.478392849
SRX5694331,-0.6897256322,-0.2124201043
SRX5694332,0.0868832761,0.3003053174
SRX5694334,1.3888131583,0.15551078200000001
SRX5694335,2.1828131783,1.2966918698
SRX5694336,-0.945070205,0.6615386903
SRX5694337,0.44082974150000004,-0.4391435933
SRX5694338,1.737110023,-0.5258675616
SRX5694339,0.2652470948,-0.0630477634
SRX5694340,2.0615537975,-2.2698369465
SRX5694341,-0.2283387969,0.8169882019
SRX5694342,1.6467357828,0.45798228760000004
SRX5694343,-1.8845069945000001,0.091354193
SRX5694344,-1.6509834942000001,-0.2146550606
SRX5694345,0.5985159414,-0.14033367830000001
SRX5694346,-1.807811283,-0.4033471068
SRX5694347,-1.2452287038,-0.8948018225000001
SRX5694348,2.795720669,-0.8784334134
SRX5694349,3.2152687246,-1.3822558701
SRX5694350,1.1239333962,0.6958340314
SRX5694351,-1.2507394862,-0.5615135411000001
SRX5694352,4.0097852464,-0.639036814
SRX5694353,-0.1118611711,-0.45437506180000004
SRX5694354,2.9246255947,-0.5462181652
SRX5694356,-0.6156708911000001,-0.5121768257
SRX5694357,2.7261367641,1.1351468176
SRX5694358,9.0660340907,0.882033308
SRX5694359,2.7315028421000003,-1.1832730512
SRX5694360,2.0920734966,-0.029022507200000002
SRX5694361,-0.5253247543,1.1763062789
SRX5694362,1.4310837926,0.4198831468
SRX5694363,-2.1388277905,-0.6900097689
SRX5694364,-0.1361072529,0.6280544555
SRX5694365,1.0950640937,0.5661450025
SRX5694366,0.46192016900000005,-0.4292531388
SRX5694367,0.6617533004,0.2184067217
SRX5694368,0.7135379723,-0.11516789940000001
SRX5694369,2.4803663021,-0.2404529562
SRX5694370,0.0424002631,-0.6356762495
SRX5694371,0.8194535361,0.26167108
SRX5694372,3.0798454194,-0.8926266125000001
SRX5694373,1.1203576100000001,0.7369882483
SRX5694374,10.6616555112,1.3803366237999999
SRX5694375,0.7002695487,-1.192870182
SRX5694376,1.3525348135,0.0683072441
SRX5694377,11.0810785391,1.2535377224
SRX5694378,2.5047212707,-0.4652168967
SRX5694379,2.5993564482,-1.6928720589
SRX5694380,-1.9521235051999999,-0.3467939512
SRX5694381,1.7232865713,1.0286053912
SRX5694382,-1.6757290793,-0.41411728670000003
SRX5694383,1.3239097917,-1.5316057793
SRX5694384,-0.13550502080000001,-0.24387676860000002
SRX5694385,3.4494025578,1.0348335603
SRX5694386,5.7879679284000005,0.2012042313
SRX5694387,0.314274681,-0.09088542320000001
SRX5694388,-1.7339929238,-0.9493303891
SRX5694389,2.0885547879,-1.7395544458
SRX5694390,1.1893237644,-1.2485089278000001
SRX5694391,1.7351735048,0.18229515270000002
SRX5694392,-0.07932259200000001,-1.8198353306000001
SRX5694393,-0.29807131870000003,-0.2589160265
SRX5694394,0.7711158504000001,-0.9142505494000001
SRX5694395,-2.5004058961,-0.7344372105
SRX5694396,-2.5310218029,-0.7206045134
SRX5694397,2.5733481878,-0.7225129248000001
SRX5694398,2.6342252694,-0.8834479492
SRX5694399,-2.5928249306,-1.3467893839
SRX5694400,2.2679855251,-0.8436057671
SRX5694401,1.5039659477,0.3149789873
SRX5694402,5.5859072724,0.3091939797
SRX5694403,0.4885277398,0.125831203
SRX5694404,0.49836441210000004,-1.9570832194
SRX5694405,-0.27880355700000004,0.15108556210000001
SRX5694406,-0.052556207300000005,-0.042937952700000004
SRX5694407,-0.3994864944,-0.4593601633
SRX5694408,-0.6267534730000001,-0.4942093031
SRX5694409,1.7480037003,1.0485524939
SRX5694410,-0.4201022129,-0.5589914776
SRX5694411,1.3217791351,-1.1082928952
SRX5694412,3.9687319922,-1.244112478
SRX5694413,-0.5332768033,0.2425044962
SRX5694414,2.0042098921,1.1422963264
SRX5694415,0.8755923347000001,-1.0897799911
SRX5694416,-0.0387092447,0.09062424270000001
SRX5694417,-0.9616209884,-0.018563762100000002
SRX5694418,1.3071575201,0.5171781309
SRX5694419,-0.675287847,0.3900469876
SRX5694420,-2.2658604697999998,-0.3127884842
SRX5694421,-0.2626351154,-0.2501519373
SRX5694422,2.5337693766,0.3363092358
SRX5694423,1.2284477238,-0.3792000425
SRX5694424,2.5725279207,-0.8990091224000001
SRX5694425,2.1201682703,-0.6040578352
SRX5694426,0.431247971,0.38683736750000003
SRX5694427,-0.3462069612,-0.5650280401000001
SRX5694428,2.361528671,0.0248319707
SRX5694429,0.0261059889,-2.3761642384
SRX5694430,-0.9631697071,-0.5637985906
SRX5694431,-2.5993817569,-0.7987771948
SRX5694432,2.3315212941,-1.2761036253
SRX5694433,-0.26597024210000003,0.3249390321
SRX5694434,-0.7675451239000001,-0.0705549736
SRX5694435,-1.0243411696,-0.4737785819
SRX5694436,2.0064415915,0.049888947600000004
SRX5694437,0.8656538405,1.2713018005
SRX5694438,0.3500191031,-0.8270787448
SRX5694439,6.9798917839,0.7385029223
SRX5694440,-0.4586102563,-0.2529874831
SRX5694441,-1.5060253463,-0.0048320459
SRX5694442,-1.0522580753,-0.5670110503
SRX5694443,-0.1865054652,-0.4187064002
SRX5694444,1.0180763025,-1.7215017633
SRX5694445,-1.6284696272999999,-0.8293412042
SRX5694446,-0.3531377781,-0.4275983956
SRX5694447,2.5538067383,-2.1675245955999998
SRX5694448,3.4637215611,0.5525340179
SRX5694449,-0.1526648792,-0.2656678752
SRX5694450,1.0848768922,-0.7758834381
SRX5694451,0.7251222317,-0.7843926096
SRX5694452,-1.7274910282,-0.3557800929
SRX5694453,-1.2597558228999999,-0.34673390460000003
SRX5694454,-0.3029727514,-0.6136287233000001
SRX5694455,0.1611468388,0.6806411608
SRX5694456,-0.3382189306,-0.07817551140000001
SRX5694457,-0.9055608293,-0.4621347765
SRX5694459,-0.8743811742,-0.5888116852
SRX5694460,1.9241175414,1.0096648325
SRX5694461,2.5442179008,-1.2390089610000001
SRX5694462,-1.1289643107,-1.7449274842
SRX5694463,-0.5383392996,-0.6236614148
SRX5694464,2.7961125181,-1.1042882078
SRX5694465,-0.7873976108,-0.7437376474
SRX5694466,0.6148995939,0.6822076168
SRX5694467,0.2949345192,0.0046974079000000005
SRX5694468,9.8842413926,0.7458048313000001
SRX5694469,0.4862985242,-0.20259274200000002
SRX5694470,0.2228678514,-0.20559954530000002
SRX5694471,0.4888167271,-0.6263620449
SRX5694472,0.6914394279,0.1249858081
SRX5694474,2.5641569308000003,-0.2903223276
SRX5694475,0.0094208632,-1.3114295061
SRX5694476,0.2610243787,-2.4103074333
SRX5694477,0.9855998819,-1.2398178948
SRX5694478,1.348221913,-1.5556411399
SRX5694479,2.6689859556,1.2091464365
SRX5694480,-1.9849826712,-0.45877145610000003
SRX5694481,2.3632265484,-1.9860477601
SRX5694482,1.1183399341,-0.2863107835
SRX5694483,-0.1363471793,-0.0120679644
SRX5694484,1.6528933193,-0.9412470890000001
SRX5694485,2.0758670726,0.4584314611
SRX5694486,0.3262723717,-0.1237239264
SRX5694487,2.1645889678,-0.8099407638
SRX5694488,2.3875043747999998,-0.9347683642
SRX5694489,0.1623338319,0.0023237754000000003
SRX5694491,2.2989953002,-1.7122624839
SRX5694492,1.2015691584,0.28581366140000003
SRX5694493,-2.7544896999,-0.8368325088
SRX5694494,2.4354467115,0.0809180267
SRX5694495,-0.1960278,-0.0223796742
SRX5694496,0.5628684394,-0.3455781909
SRX5694497,2.9555748451,0.0656190634
SRX5694498,0.6532526061,-0.4537387932
SRX5694499,-2.9350214935,-1.3700048219
SRX5694500,2.0197895842,-1.3771368383
SRX5694501,1.2579366156,-1.2651807084
SRX5694502,2.481075583,1.316071593
SRX5694503,2.6630574489,0.1337970131
SRX5694504,-0.0545102706,-0.0885818687
SRX5694505,4.1168216944000005,1.7203494781000002
SRX5694506,1.3069687707,0.4438688999
SRX5694507,0.43117068610000003,-0.2605751477
SRX5694508,-0.7358650705,0.4078631851
SRX5694509,1.0909028461,-0.4911438649
SRX5694510,0.3197571879,0.291511297
SRX5694511,0.9285843134,-1.2081302163
SRX5694512,1.7871839557,-1.6203229336
SRX5694513,-1.7713447632000001,0.0186783528
SRX5694514,2.4470577811,0.5081614331000001
SRX5694515,4.023707156,0.5152202184
SRX5694516,7.3618535295,0.6087372199000001
SRX5694517,0.40175171740000004,-0.9733806490000001
SRX5694518,-0.566250341,-0.2018245696
SRX5694519,-1.2956548164,-0.2975212665
SRX5694520,1.2811405563,0.0592472033
SRX5694521,0.7897849519,-0.1557711024
SRX5694522,0.5480875545,-2.0290756097
SRX5694523,3.7566445231000003,-1.4427839987
SRX5694524,1.1906502446,-0.68105097
SRX5694525,-0.4729311593,-0.14381668920000001
SRX5694526,4.8240396844,-0.9957014519
SRX5694527,2.5027423209,-1.1900685472
SRX5694528,2.4692175781,0.8367271722
