,rpoH
Cr_1,0.003070322964857484
Cr_2,0.006742247756951294
Cr_3,0.014495249186111381
Cr_4,0.021858444835840717
Cr_5,0.028521281673709032
Cr_6,0.03518337709542424
Fe_1,-0.007023476363437829
Fe_2,-0.01750422542355127
Fe_3,-0.02189984493768792
Fe_4,-0.026462421478530455
Fe_5,-0.02748706875315301
Fe_6,-0.02681775499335344
Cd_1,0.001473268219778823
Cd_2,0.004671371888366956
Cd_3,0.008572016926646435
Cd_4,0.011117384397899423
Cd_5,0.011440937508293392
Cd_6,0.015070193712595568
Zn_1,-0.00729856103055383
Zn_2,-0.009700791920537005
Zn_3,-0.008575982170924989
Zn_4,-0.002906345095966353
Zn_5,0.0016289448512648696
Zn_6,0.0014372550197183336
Cu_1,0.005927963772564588
Cu_2,0.018205642701616287
Cu_3,0.03092825561805205
Cu_4,0.04086096398524512
Cu_5,0.05083952960901034
Cu_6,0.05979045347617329
Pb_1,0.0017180509137284536
Pb_2,0.005889604816038822
Pb_3,0.013501987529181076
Pb_4,0.022688505660566374
Pb_5,0.03197354542528398
Pb_6,0.04026875872268615
