,ygbI
Cr_1,0.008142866297302603
Cr_2,0.013878162937070851
Cr_3,0.020191846960489687
Cr_4,0.03015645628922398
Cr_5,0.03045017965862268
Cr_6,0.026264415547463192
Fe_1,-0.0031807248732365783
Fe_2,-0.0036902115343865273
Fe_3,-0.0012245568075014573
Fe_4,-0.005324998623886224
Fe_5,-0.008967336147880577
Fe_6,-0.014542649792339487
Cd_1,-1.9863014136336357e-05
Cd_2,0.0030113532775113373
Cd_3,0.00859625800778633
Cd_4,0.012204326628126871
Cd_5,0.013008171863203095
Cd_6,0.019878525852564208
Zn_1,-0.006473258437372333
Zn_2,-0.007216343983745826
Zn_3,-0.00656686982585131
Zn_4,-0.006674571018672963
Zn_5,-0.00993440784647638
Zn_6,-0.014249145513165643
Cu_1,0.004072106036853264
Cu_2,0.013224564537627105
Cu_3,0.0252186976648432
Cu_4,0.03618242010146051
Cu_5,0.045644230774285074
Cu_6,0.05467150913937855
Pb_1,0.007558614972166299
Pb_2,0.017837359427473803
Pb_3,0.03394663793038172
Pb_4,0.0444869387959748
Pb_5,0.05763792721260455
Pb_6,0.07120713200218927
