,A,SigG
M40t90_1,6.3078103834,-0.17856666666666676
M40t90_2,-0.34942441750000003,0.1470333333333338
M40t90_3,-0.20843612520000002,0.07213333333333338
dia0_1,1.3296578417,-0.22266666666666612
dia0_2,-0.26741945840000003,-0.1624666666666661
dia0_3,-3.9980271308,-0.40096666666666625
dia5_1,2.9531838293,-0.10176666666666634
dia5_2,3.8246629748,0.26383333333333336
dia5_3,0.1034283959,0.007333333333333414
dia15_1,0.8263602292000001,0.403033333333334
dia15_2,1.5412993544,0.7477333333333336
dia15_3,8.8575805349,0.3657333333333339
Diami_1,10.5965087077,0.4830333333333341
Diami_2,3.7847769448,0.47963333333333313
Diami_3,10.0773483281,0.5080333333333327
Paraq_1,8.4190996126,0.44333333333333425
Paraq_2,1.0002356964,0.0820333333333334
Paraq_3,12.3643013468,-0.23536666666666672
H2O2_1,4.7575764998,0.015733333333333377
H2O2_2,3.0531004552,0.12973333333333326
H2O2_3,7.1303525857,0.2360333333333342
Oxctl_1,11.8396574391,0.3729333333333331
Oxctl_2,10.1362680879,0.15443333333333342
Oxctl_3,2.5419895475,0.08663333333333334
GM-0.1_1,2.5362311866000002,0.33943333333333303
GM-0.2_1,8.5845907935,0.7158333333333333
GM+5_1,2.0324319952,0.18093333333333383
GM+15_1,-0.4451103267,0.42703333333333315
GM+25_1,-6.0477118386,0.23873333333333324
GM+45_1,-2.1700807407,0.46403333333333396
GM+60_1,-4.064300943,0.22633333333333372
GM+90_1,-1.0662649343,0.5107333333333335
GM+120_1,13.7745966366,0.4468333333333332
GM+150_1,3.9579713223,0.34073333333333355
GM-0.1_2,-4.2763414419,-0.1267666666666667
GM-0.2_2,1.8945436323,0.0516333333333332
GM+5_2,-3.4104284959,-0.10986666666666611
GM+10_2,-2.1710324843,-0.10936666666666639
GM+15_2,2.3480222197,0.06273333333333397
GM+25_2,-1.9596471233,-0.08446666666666669
GM+45_2,1.884151165,-0.5175666666666663
GM+60_2,7.0523887031,-0.10696666666666665
GM+90_2,3.2014828115,0.6674333333333342
GM+150_2,5.2801354679,0.21633333333333393
GM-0.1_3,-0.0449932782,0.3549333333333342
GM-0.2_3,-4.457857678,-0.045566666666666755
GM+5_3,-2.3297505934,0.4825333333333335
GM+10_3,5.3558739599,-0.18466666666666676
GM+15_3,-0.2502612037,0.263233333333333
GM+25_3,4.6484843634,0.2048333333333341
GM+45_3,10.7574901981,0.5464333333333338
GM+60_3,8.8685670421,0.33993333333333364
GM+90_3,4.7911473141,0.2413333333333343
GM+120_3,9.4990208184,0.8953333333333342
GM+150_3,1.1154555226,0.13133333333333397
MG-0.1_1,-0.5863918741,0.22323333333333384
MG+5_1,2.9743670814,0.28653333333333375
MG+10_1,-3.3222086038,-0.013066666666666116
MG+15_1,4.2940137784,-0.15326666666666622
MG+25_1,0.1256031229,-0.05756666666666632
MG+45_1,1.7317033797999999,0.149233333333334
MG+120_1,7.7680073076,0.19273333333333387
MG+150_1,2.0058065409,0.35623333333333296
MG-0.1_2,2.1335836334,-0.40756666666666685
MG-0.2_2,-0.7227336092000001,-0.29066666666666663
MG+5_2,-1.4694958205,-0.4199666666666664
MG+10_2,-1.829687071,-0.10996666666666677
MG+15_2,-0.2016431631,0.18973333333333375
MG+25_2,2.884150429,-0.08476666666666599
MG+45_2,6.1886175499,-0.2561666666666662
MG+60_2,1.5266210368,-0.019366666666666532
MG+90_2,-0.080396775,-0.5192666666666668
MG+120_2,-1.6490356541,0.30753333333333277
MG-0.1_3,-3.8489400309,0.10403333333333364
MG-0.2_3,2.4937151628,0.18653333333333322
MG+5_3,5.8540357169,0.1287333333333338
MG+10_3,10.0073851709,0.27553333333333274
MG+15_3,-1.0229835004,-0.10676666666666623
MG+25_3,-1.4685871832,-0.07626666666666626
MG+45_3,-4.1180670988,-0.06706666666666639
MG+60_3,3.3753403903,0.036133333333333795
MG+90_3,-4.1821845722,-0.4325666666666663
MG+120_3,-0.3427820702,-0.17646666666666633
MG+150_3,-0.5698619972,0.5076333333333336
