,argZ
Cr_1,-0.002081493669109021
Cr_2,-0.002598200629266834
Cr_3,0.002976004750401496
Cr_4,0.005915643400073872
Cr_5,0.017253105642739956
Cr_6,0.03035589217148038
Fe_1,-0.026914357877616632
Fe_2,-0.048791214706614634
Fe_3,-0.06299316189842638
Fe_4,-0.08713314240181178
Fe_5,-0.08274965504343429
Fe_6,-0.06800109226291083
Cd_1,0.0037456493710006033
Cd_2,0.008079814270326889
Cd_3,0.0133099309081388
Cd_4,0.019875847007811944
Cd_5,0.02020767784972952
Cd_6,0.024477241650078432
Zn_1,0.001283626399091716
Zn_2,0.012551647579096568
Zn_3,-0.018895773065260742
Zn_4,-0.0032904615483213863
Zn_5,-0.025950826807109254
Zn_6,-0.01672155866577333
Cu_1,-0.0027228966557123827
Cu_2,0.0037170317827643117
Cu_3,0.003475660283700812
Cu_4,0.005715182616621871
Cu_5,0.014167516279899471
Cu_6,0.013155230525147749
Pb_1,0.010307933438269046
Pb_2,0.01011533195323855
Pb_3,0.021556878086228116
Pb_4,0.023897743059464304
Pb_5,0.03815348848670624
Pb_6,0.03527826065063639
