,ycfS
Cr_1,0.002549506701780559
Cr_2,0.009584841386648441
Cr_3,0.02546109022673591
Cr_4,0.044025501060213024
Cr_5,0.05610252073592791
Cr_6,0.0647692571578247
Fe_1,0.001230332118330023
Fe_2,6.541186776731314e-05
Fe_3,0.00698302660198154
Fe_4,0.00485659260771567
Fe_5,0.00892330079514214
Fe_6,0.004835929872691078
Cd_1,0.0013106706403181825
Cd_2,0.002378422731801258
Cd_3,0.006675784808738417
Cd_4,0.002908377756040917
Cd_5,-0.00029383511807334087
Cd_6,0.0036878898626495475
Zn_1,0.01913451398789228
Zn_2,0.03362683869314313
Zn_3,0.05680461518803846
Zn_4,0.090207572923428
Zn_5,0.12359272160789975
Zn_6,0.15275671058787427
Cu_1,0.00872736021327353
Cu_2,0.015382045520189102
Cu_3,0.02516212694121947
Cu_4,0.029222037543306517
Cu_5,0.03752460707928917
Cu_6,0.04302280091914151
Pb_1,-0.0024152126001428078
Pb_2,0.0012795609813367182
Pb_3,0.013222174015566385
Pb_4,0.025325193811495054
Pb_5,0.0376825478575562
Pb_6,0.061621449122834515
