k,name,in_iM,gene_weight,regulator,function,category
11,Chromium,False,0.014017079742625357,,,
6,Iron,False,0.012545873308554292,,,
7,Zinc - Steady,False,0.011437560385093092,,,
3,Cadmium,False,-0.0071289362013340005,,,
12,Zinc - Intermediate,False,-0.005646964414494045,,,
13,UC-6,False,0.004868822079151869,,,
8,Zinc - Fast,False,0.004304420119151472,,,
0,UC-1,False,0.0038818244705908,,,
4,UC-4,False,0.0028863189578987656,,,
2,UC-3,False,0.0015116265637334435,,,
5,Lead,False,-0.0010631498647853733,,,
9,UC-5,False,0.0005494483837055558,,,
10,Copper,False,0.0005078255414264276,,,
1,UC-2,False,0.00024835294229433205,,,
14,UC-7,False,-0.0002156826363352593,,,
