,ydjE
Cr_1,0.0006956226614562459
Cr_2,0.010935818133379106
Cr_3,0.006008128329957303
Cr_4,-0.0007739418792620603
Cr_5,0.002917129338830933
Cr_6,0.011860428272519615
Fe_1,-0.0014418239793809302
Fe_2,-0.006170636097255694
Fe_3,-0.003423687320896276
Fe_4,-0.011001877806010623
Fe_5,-0.01292018369285235
Fe_6,-0.013951161662177752
Cd_1,0.04090570366669403
Cd_2,0.07663253300364023
Cd_3,0.07306792283585385
Cd_4,0.1112937752603236
Cd_5,0.16690688146463611
Cd_6,0.2607228796906965
Zn_1,-0.006822441804543085
Zn_2,-0.013321665854591585
Zn_3,-0.009696033351191615
Zn_4,-0.009722026763095668
Zn_5,-0.012235285528531294
Zn_6,-0.004827400540934954
Cu_1,-0.04338999523411202
Cu_2,-0.07955028233965143
Cu_3,-0.1075106152455782
Cu_4,-0.10685946263397217
Cu_5,-0.10864012155346683
Cu_6,-0.11391504544323255
Pb_1,-0.006432598420268884
Pb_2,-0.0007739955563949953
Pb_3,-0.0003957414799608081
Pb_4,0.0018873183637206734
Pb_5,-0.007912902768763679
Pb_6,-0.0075329276183524205
