,cspA
Cr_1,0.0049726488569051775
Cr_2,0.011845385681504669
Cr_3,0.01936833739382592
Cr_4,0.02604328439432996
Cr_5,0.034244583289148235
Cr_6,0.04440639921161308
Fe_1,-0.0021319294913528007
Fe_2,-0.013190590922946709
Fe_3,-0.03080941245095177
Fe_4,-0.04405100551452085
Fe_5,-0.05076938896065335
Fe_6,-0.05088986964006334
Cd_1,0.002020441210790845
Cd_2,0.0045470524880004285
Cd_3,0.007395920951209395
Cd_4,0.010329625446449898
Cd_5,0.010151524254952148
Cd_6,0.013945966726110441
Zn_1,0.0024882694563099746
Zn_2,0.010326326911089078
Zn_3,0.020057290482269643
Zn_4,0.02993328797509493
Zn_5,0.039059513175705135
Zn_6,0.03791927426860065
Cu_1,0.0024149131337351435
Cu_2,0.0038379174790012212
Cu_3,0.007800408874316265
Cu_4,0.00917467213801818
Cu_5,0.014036289946315093
Cu_6,0.02187265962029817
Pb_1,0.0007680314382069107
Pb_2,0.00459000455262075
Pb_3,0.004161469700283232
Pb_4,0.005692744829817319
Pb_5,0.007871039911466045
Pb_6,0.011641547789843876
