,clpS
Cr_1,-0.0010059914183240745
Cr_2,0.004366318730784748
Cr_3,0.013364480838546518
Cr_4,0.0170361724653267
Cr_5,0.02269983493645562
Cr_6,0.023847290474583168
Fe_1,-0.012235246910570808
Fe_2,-0.015480752087248213
Fe_3,-0.0161264622172865
Fe_4,-0.030137487402981493
Fe_5,-0.043657147293166915
Fe_6,-0.06652026598603422
Cd_1,0.0035362075090649946
Cd_2,0.0018254136759125004
Cd_3,0.006025888326154557
Cd_4,0.0038945032742822576
Cd_5,-0.006662340603520729
Cd_6,-0.005601042844846061
Zn_1,-0.01583156931324436
Zn_2,-0.018575343026098756
Zn_3,0.008286526685930194
Zn_4,0.01745038921221654
Zn_5,0.022426973181388168
Zn_6,-0.013845433803404037
Cu_1,0.008311091465359766
Cu_2,0.01592653662372797
Cu_3,0.02885255187635428
Cu_4,0.042966161200137264
Cu_5,0.05175403035196097
Cu_6,0.05748088757996304
Pb_1,0.009634527901877368
Pb_2,0.023647832814044173
Pb_3,0.044630400640779035
Pb_4,0.06540348610606721
Pb_5,0.08677182457385384
Pb_6,0.11201199168770172
