,yrbG
Cr_1,-0.021292505251662784
Cr_2,-0.05029306603216039
Cr_3,-0.07013920294773457
Cr_4,-0.07866255482257804
Cr_5,-0.07696794886963168
Cr_6,-0.0732458750330317
Fe_1,-0.012972154546832915
Fe_2,-0.030305016804945357
Fe_3,-0.04316576062833054
Fe_4,-0.06041030495569188
Fe_5,-0.07446677617061248
Fe_6,-0.08167515099337834
Cd_1,-0.00020072983977831725
Cd_2,0.0002619390017438253
Cd_3,0.0026116333749241372
Cd_4,0.003945591745523667
Cd_5,0.00457327652923818
Cd_6,0.015168596287244897
Zn_1,-0.00043306004987641515
Zn_2,-0.002563958156041437
Zn_3,-0.0014942056203451474
Zn_4,0.0031515372602212576
Zn_5,0.008013481365269146
Zn_6,0.014798594696487413
Cu_1,0.002659525447724965
Cu_2,0.008700330953890653
Cu_3,0.012243313010096363
Cu_4,0.01527320647881286
Cu_5,0.01776969710430836
Cu_6,0.022817400759248468
Pb_1,0.0037533427875778656
Pb_2,0.00938004618895819
Pb_3,0.02051833333586333
Pb_4,0.032672696927147984
Pb_5,0.045772709693394316
Pb_6,0.06141788472936914
