,idnK
Cr_1,-0.0026898142249733074
Cr_2,-0.0029313039794674704
Cr_3,-0.0011198569804285994
Cr_4,-0.002533391472302976
Cr_5,-0.004767095549396735
Cr_6,-0.01532412285907715
Fe_1,-0.013740085641401702
Fe_2,-0.03709402710292786
Fe_3,-0.05789705808670768
Fe_4,-0.07966009802056452
Fe_5,-0.09372302471681088
Fe_6,-0.10964269748367272
Cd_1,0.004289324756045997
Cd_2,0.012701968334751708
Cd_3,0.023519542586361655
Cd_4,0.03076339700663528
Cd_5,0.031174732686532636
Cd_6,0.040670237689682635
Zn_1,-0.002500707064925776
Zn_2,-0.019897135577961196
Zn_3,-0.044343857860612346
Zn_4,-0.058870860411907665
Zn_5,-0.07424390907086463
Zn_6,-0.09289687597004456
Cu_1,0.0049027397909171
Cu_2,0.009299209826151277
Cu_3,0.016313944418487172
Cu_4,0.025094381499429483
Cu_5,0.03540139902276716
Cu_6,0.04697350371839439
Pb_1,-0.00013782585068631984
Pb_2,-0.0032205095211517844
Pb_3,0.003881434267294607
Pb_4,0.015414364861567725
Pb_5,0.013844416671665612
Pb_6,0.014389121413406484
