,A,FecI,Crp,PdhR,Fur,HypT,Nac
R2,,0.1719862401759209,0.051655542067065796,0.035246710990587404,0.014536798876335744,0.006520537487254563,0.003716737711554563
xmin,,-5.290203177,-9.852476477,-7.947651277,-9.893921886,-3.4180353462,-9.2368842382
xmid,,-2.5589565815489093,-0.6163472025986813,,,,
xmax,,6.0118765498,2.5388323397,5.123006498,3.7262191745,2.976060668,8.2896436494
ystart,,-1.465217898473394,1.0214882900035922,-2.4296412814066883,4.22431269732758,-0.6107289826585278,1.121139678076843
yend,,4.618332895523587,-2.67967305095648,1.9954309300851298,-1.2823642035091305,1.10829626948502,-0.6976187184643898
aat__00m_00s__1,-0.1996288427,1.5829023534000002,0.0344951212,0.0786388769,-0.019353005700000002,0.027309873300000002,-0.6087659503
aat__00m_30s__1,-0.8570920358,1.7219977795,0.1435731223,1.7268348803,0.2305871583,-0.2577147768,-0.7684377252
aat__01m_00s__1,-0.4305102559,3.8713612937,0.2534372822,3.5512277696,0.7275786303,-0.6130216518,-0.2494753319
aat__02m_00s__1,-0.9722345575,4.7994836266,0.283920339,3.7031529341000002,1.208661552,-0.6200718129,-0.8593663065
aat__05m_00s__1,0.7999467313,4.7260741084,0.3175329239,3.7042838061000003,1.1169083627,-0.0371024861,-0.8536481749
aat__10m_00s__1,0.9903185677,4.0559466861,0.17602055360000002,3.538023116,1.0786663615,0.3254009766,-1.097633245
aat__00m_00s__2,0.1247321314,0.548738996,0.005256366,-0.0471191304,-0.0089366757,-0.1472930787,-0.0200765477
aat__00m_30s__2,-0.5252500126,2.4680673062,0.2819816342,2.8958078209,0.5340986209,0.0755107382,-0.0977108352
aat__01m_00s__2,-1.1715469632,3.8946713271,0.2801678667,3.7406613857,0.8046125807000001,-0.5111103386,-0.1616756424
aat__02m_00s__2,-0.9196001145,4.747982332,0.4762089513,3.74836876,1.2652089755,-0.49814172900000003,-0.6594998195
aat__05m_00s__2,0.9507628231,4.696680009,0.5370175003000001,3.6725961106,0.9467520126000001,0.1575122918,-1.1317581087
aat__10m_00s__2,0.3857069832,4.2222153319,0.5086233319,3.3628660916,1.0346662242,0.51394086,-0.2891878228
aat__00m_00s__3,0.0748967113,-2.1316413495,-0.039751487200000005,-0.0315197465,0.028289681400000002,0.1199832054,0.628842498
aat__00m_30s__3,-0.6582980284000001,1.8608737276,0.2905320638,1.8653251552999999,0.43446716560000004,-0.2983877078,0.06683463960000001
aat__01m_00s__3,-0.9357027259,3.2117644003,0.1859933018,3.4807715254,0.6134168988,-0.5709001138,-0.226549141
aat__02m_00s__3,-1.2921616131,4.3856882481,0.3699621097,3.6670593325,1.29823639,-0.26025151490000004,-0.4197131606
aat__05m_00s__3,0.5291296854,4.2713508841,0.5483756585,3.7439360697,1.3466842796,0.2376770132,-0.5652445004000001
aat__10m_00s__3,0.5875801917,4.1911113944,0.50143841,3.5139543053,1.1321686126000001,0.5564382349,-0.8309633404000001
abx_mega__dmso-2__1,0.5295373411000001,-0.7081855045000001,-0.4516798918,0.7253847981,0.15514151240000001,0.7649257220000001,0.8767780779000001
abx_mega__ery_dmso__1,0.5948538905,0.8310759149,-1.8893970692000002,1.3865036554999999,0.4377684502,0.9026374749,-2.2961125363
abx_mega__nal_naoh__1,1.6599049774,-1.0441245221,-0.1701238306,1.1613375295,-0.4062446666,-0.2342332083,0.3561750124
abx_mega__dmso-5__1,0.3515973356,-0.783037674,0.1340371706,-0.827989933,0.46838079790000003,0.2570550264,0.1987336626
abx_mega__rif_dmso__1,1.5657804188000002,-0.7165774907,-0.8477189713000001,-1.6353559903,0.6257311257,-0.07512619920000001,0.3604524203
abx_mega__novo_h2o__1,-0.2020637228,-0.7783440691,0.1307715067,-2.3337368603,1.2222652304000001,-1.630664504,-1.7901959572
abx_mega__rach_dmso__1,4.6436840444000005,0.6075573632,-0.2340068764,0.1737032199,0.18962784700000002,0.4673295274,0.4318438408
abx_mega__metro_dmso__1,0.49149651710000003,0.25543391060000004,-0.33700626310000004,0.4052451144,1.1965334314,0.6503470357000001,0.1992620209
abx_mega__dmso-6__1,0.14217724680000002,-0.48722092250000004,-0.2857852433,-0.8283493310000001,0.2926141826,0.7474173979000001,-0.40245616040000004
abx_mega__chl_h2o__1,1.0603629276,1.4304604635,-2.9247054987,2.6850749404,0.14519100170000002,0.5566685068,-0.9546913059000001
abx_mega__cst_h2o__1,2.0208994523,-0.21372824240000002,0.0899715865,-0.1260341966,-0.0246486099,0.0527140402,0.6961197038
abx_mega__tec_h2o__1,8.6575751149,1.0673569084,-1.6070723407,1.8993536682,-1.6263367794999999,0.393091872,0.1970671269
abx_mega__str_h2o__1,5.4129747241,1.3907424430000002,-0.5390842036,0.9910496412,-0.8044302194,0.6253305567,-1.231428017
abx_mega__ctx_h2o__1,3.5856346159,-0.3158162606,-0.0980165268,-0.1334589168,-0.0720290764,0.0062332519,0.9644950045
abx_mega__nal_naoh__2,2.5251267598,-0.4184125052,0.2016373309,0.0270796529,0.463461864,0.0842180852,-0.0902521619
abx_mega__phos_h2o__1,-1.0135492259,-1.1354446932,-0.2490351859,-0.8466689001000001,-0.5470965469,-0.22307769060000002,1.2904476845000001
abx_mega__dmso-5__2,0.4828481294,-0.1438209443,0.0411821817,-0.8803425433000001,0.30733720410000004,0.1256848102,-0.1009443084
abx_mega__polmyx_h2o__1,4.9284398772,-0.4361770468,0.0231238538,-0.2752803049,-0.2169944251,-0.3186051965,-0.31831298610000003
abx_mega__h2o-8b__1,0.9012604784,-0.2670170789,0.0476350313,-0.39945049250000003,-0.0938650437,0.1223764901,0.9534781892
abx_mega__h2o-6__1,1.3419604155,-0.3538008124,0.24713669740000002,-0.4419979311,0.2777125167,0.2961122711,0.24765128420000002
abx_mega__thio_dmso__1,2.5974400045,-0.32653487410000004,-1.5465123927,1.266892293,-0.7033619888,0.37673294430000004,-0.7968411392
abx_mega__phos_h2o__2,0.24139632660000002,-0.9253593486,0.2066153554,-0.0808113733,-0.2520653392,-0.3791312506,0.4864713626
abx_mega__ctx_h2o__2,4.1761334968,-0.6973177849000001,-0.5157335737000001,0.07512070230000001,-0.7046253372,-0.3477767873,0.44844712740000003
abx_mega__lzd_dmso__1,0.0250940223,0.0012072264,-1.8223907651,-0.6673192978,0.0317203545,0.6100671301,-0.9611780053000001
abx_mega__naoh-9__1,2.841624502,-0.2543909276,0.36042412560000003,0.831519917,0.233701549,0.1649720222,0.24863525260000002
abx_mega__dox_dmso__1,-1.8196094165,-0.9317647202,-1.3002511837,0.037717413400000004,-0.40180014550000004,0.7032335885000001,-0.37883280150000004
abx_mega__phos_ethanol__1,-0.5238586072,-0.42635058940000004,0.3379205155,1.3179327087,-0.2256123391,-0.0306966186,0.6372590869
abx_mega__teix_dmso__1,6.8618989994,1.1665725683,-0.6834405493,0.42768361860000004,-0.0690208313,0.0741109368,-0.8672898514
abx_mega__dmso-10__1,-0.2300304843,-2.0667651857,0.1656640608,0.2221631061,0.0975378159,0.3653079179,0.8412397582000001
abx_mega__van_dmso__1,1.1970511704,-2.3470686957,-0.9934080376000001,-0.7253846821000001,0.9722225077000001,-0.6120314556,3.3518109549
abx_mega__ramo_h2o__1,6.0399867988,0.4054522112,-0.3443110079,-0.6514753326,-0.3926104231,-0.3168600234,-0.2607254032
abx_mega__tec_h2o__2,4.0057484417,0.3098529258,-0.9407234058,-0.1516361028,-0.011125823600000001,-0.033486216400000005,0.27499405800000004
abx_mega__h2o-7__1,1.236702517,-0.3669531057,-0.0040549861000000005,0.6963605033,-0.1153333252,0.4968439302,1.2762916975
abx_mega__cro_h2o__1,3.6840179439,-0.2758859409,-0.1478341465,0.1837709777,-0.43185484830000004,-0.0031837897,1.1358169906
abx_mega__tric_ethanol__1,5.4282152985,0.7346370115,-0.1558928562,1.9427185526000001,0.4129649769,0.35270339900000003,-0.17017549510000002
abx_mega__nor_naoh__1,2.2989835259999998,0.2438458007,0.2764607147,0.046946868700000005,-0.2012607397,0.1338990858,-0.0019217719000000002
abx_mega__teix_dmso__2,1.6963912098,-0.2663858442,-0.14661147630000002,-1.4623495752,0.3114276031,-0.0191068351,0.32695482
abx_mega__nal_naoh__3,2.0521802722,-0.1890500803,0.2201400917,-0.2098762837,0.4279505287,0.1633467039,0.0304048024
abx_mega__novo_h2o__2,-1.1114464967,-1.4354224905000001,0.1874058842,-2.4302167375,1.2267004369,-1.2744726761,-1.7838273028
abx_mega__dmso-10__2,-0.4974963499,-1.7744615809000002,0.0513472187,0.604853218,-0.1819792789,0.27646395560000003,0.6320160121
abx_mega__phos_h2o__3,1.0868302832,-0.5007551422000001,0.3866879371,-0.9640342847000001,0.0923447817,0.1902904023,-0.2527105195
abx_mega__dmso-6__2,-1.4984201308,-0.8300690462,-0.0602559214,-1.6481699323,0.4137604635,0.5800801668000001,-0.40187031640000004
abx_mega__rfp_ethanol__1,5.8692273721,0.4513021656,-1.4743546362,0.9013299302000001,-0.0411889955,-0.8721171035,0.6116260415
abx_mega__dmso-5__3,1.0304811633,-0.093941829,-0.13444608700000002,-0.10801200050000001,0.4465032129,0.6291444161,0.3626445851
abx_mega__amyc-d_dmso__1,-3.5489521727,-0.7765137291,-1.621907484,1.1608061739,1.1929509728,-0.5899620519000001,-0.7921696426
abx_mega__sxt_dmso__1,1.1264127387,-0.2764094305,-0.0376343135,0.4267420384,-0.24377161500000002,-0.1324200173,1.4237648646
abx_mega__dmso-1__1,-3.3227719424,-0.7014893765,-0.0810478849,-0.4874277622,0.1022267718,0.1940757311,-0.0484074273
abx_mega__pen_h2o__1,4.2652901378,0.4321998631,0.1296583874,-1.8979802275000002,-0.08204266710000001,-1.5537300295,-0.3001566376
abx_mega__dmso-10__3,-0.6824013181,-0.902017677,0.2017965224,0.1789729038,-0.40016228400000003,0.3674755966,0.6729728702000001
abx_mega__nal_naoh__4,2.1600990622,-0.8818056651,0.1490464558,0.46096723570000003,-0.1309359008,-0.07415547260000001,0.9617728216
abx_mega__cip_naoh__1,2.1817569926,-0.23109685170000002,0.2623448043,0.1620881607,0.0090969511,-0.2841210829,0.8513588422
abx_mega__pen_h2o__2,4.8519314505,0.6075474094000001,-0.22631582460000002,-1.4105969001,-0.1838030893,-0.4147987527,0.3039911158
abx_mega__ery_dmso__2,1.1094597086,1.3849239189,-1.9945889461,1.2973136534,0.46724588110000004,0.899088459,-1.6263361349
abx_mega__dmso-2__2,-1.6340800915,-0.972649929,-0.303318389,0.43651621490000003,-2.4282303025,0.7814569269,2.0667431391
abx_mega__van_dmso__2,-0.5373820367000001,-0.5102979312,-0.9213934478,-0.2776117523,0.9629089327,-0.1523734115,2.5461697842
abx_mega__h2o-1b__1,3.2366003654,0.0953162456,-0.5542551321,0.19783469480000002,0.12368935310000001,-0.4565992425,0.1580504811
abx_mega__ery_h2o__1,0.6585423165000001,0.16206202760000002,-2.4371824129,1.0909626649,0.8900661546,0.1726118664,-1.1407282397
abx_mega__bacit_h2o__1,8.0377922275,2.3733482772,-0.6975730314,-0.5051957658,-0.3167585807,-0.45633170570000003,-1.7325989036
abx_mega__chl_h2o__2,0.35656129200000003,0.21580470270000002,-2.788252041,1.4602620033,-0.2278540168,0.557121643,-1.1016301346
abx_mega__str_h2o__2,7.2773356086,2.040348736,-0.46271994780000003,0.7237114785000001,-1.2068082598,0.5624285932,-0.34529778640000003
abx_mega__rfp_ethanol__2,4.5394918551,1.0116072021,-1.0117169578,0.9589068235,-0.22732878210000002,0.7314922774,2.0670399472
abx_mega__polmyx_h2o__2,3.4680827153,-0.880057854,-0.1729404675,-0.6450805798,-0.6056212274,-0.5945041413000001,0.17670017070000002
abx_mega__tric_h2o__1,2.0175306043,0.6237564018,0.2138522692,1.6610062005000001,0.20430109170000002,0.1791619481,0.1545721048
abx_mega__cip_naoh__2,3.4598064527,-0.0657194462,0.22403181360000002,0.6424275629,0.2181452225,0.22374797340000002,-0.2460031209
abx_mega__novo_h2o__3,-1.1433288319,-0.9150554396,-0.09237995040000001,-2.5199765503,1.1462812854,-1.8209205979,-1.2304060521
abx_mega__bacit_dmso__1,5.1384351406,0.7688927273,-0.38942819040000004,-0.61694242,0.3636055414,0.1850783634,-0.8698235163
abx_mega__gen_h2o__1,-0.29648194910000003,-2.5620169676,-1.1362642293,1.8493936930000001,0.4631088042,0.6045643772,0.37273969090000003
abx_mega__bacit_dmso__2,5.416585874,1.3246858938,-0.41342659340000004,-1.0286376569,0.2378312514,-0.06816811960000001,0.11022600040000001
abx_mega__chl_dmso__1,2.0921559394,0.1458236753,-1.6036324816,-0.3900090181,0.3246086132,0.7994934834,-0.9428159685
abx_mega__bacit_h2o__2,4.9695625088,0.8259739743000001,-0.5104274184,0.3916022518,0.5482222344000001,-0.5575450467,-1.5739353011000001
abx_mega__lvx_dmso__1,2.5449904627,-0.7561383361,-0.1584196907,-0.6139734105,-0.010888811600000001,0.0803774238,0.8868843939000001
abx_mega__bacit_h2o__3,8.1217305301,2.1820668202,-0.6589226995,0.0134662168,-0.2638272614,-0.30523789230000004,-1.1635731407
abx_mega__nor_naoh__2,2.6506282864,-0.0932145234,0.1764471632,-0.2786400758,-0.036860092500000004,-0.0696715389,-0.1802947603
abx_mega__amyc-d_dmso__2,5.6004311931,2.9270947711,-0.5799739837,-0.5352352775,1.0691590726,0.7467206980000001,-0.11504925190000001
abx_mega__polmyx_h2o__3,6.9511046717,0.7999527768,-0.6950204566,1.7065577897000002,-2.3252710335,0.9569539955,0.6945433161
abx_mega__naoh-6__1,1.892254704,-0.0252734555,0.245553549,-0.7114469910000001,0.4110728621,0.4096490041,-0.958478983
abx_mega__cst_h2o__2,3.844262734,0.6758919240000001,-0.24882076420000002,-0.4062820858,0.20007652210000001,0.3106887119,0.3043718098
abx_mega__h2o-1b__2,5.6394098853,0.41573798040000004,-1.0972302127,1.1323660895,0.1010918916,-0.0502354296,-0.3781153508
abx_mega__rfp_h2o__1,1.3257959636,0.4831819956,-2.0210704043,-0.5028850884,0.3957199563,0.23532353120000002,0.6793472024
abx_mega__tet_h2o__1,-2.9298934073,-0.2566461411,-1.6584843203,-1.897170357,0.3948733358,-0.2140065343,-1.4608523498000001
abx_mega__flavo_dmso__1,4.0550557734,0.5206348678,-0.2397944182,0.1384413032,0.3573052694,-0.0107755295,0.13156027
abx_mega__zeocin_h2o__1,3.7144290557,-0.7399571668,0.1989831632,-0.1544561085,-0.4525821431,-0.1094290074,0.3464092529
abx_mega__nor_naoh__3,2.1256347271,-0.0509628211,0.10670366340000001,0.34029836890000004,-0.0191556582,0.0126468386,-0.1387413508
abx_mega__rach_dmso__2,5.3661561283,-1.5037583621000001,-0.1227589166,-0.449618785,0.0293777617,0.41399597590000003,0.32694084090000003
abx_mega__thio_dmso__2,-0.5386446067,-0.8161920045000001,-1.4531793695,2.7152643049,0.9859149752,0.6596581523,-0.7981338325
abx_mega__amyc-d_dmso__3,-0.8628531892,-0.0859632711,-1.642695013,1.6077031243,0.6808311431,0.5758878620000001,0.2203794738
abx_mega__rif_dmso__2,2.3962527004,1.2109531536,-0.659556922,-0.1452984927,0.5317095390000001,0.6717976694000001,1.2663475316000001
abx_mega__amyc-d_dmso__4,5.0895399791,2.5360029703,-0.5482364304,-0.233597714,0.9360842386,0.28108046400000003,-0.7832528718
abx_mega__teix_dmso__3,2.1024697335,-0.4355936856,-0.1455592358,0.1842955241,0.0201775326,-0.2343366832,0.1635067698
abx_mega__valin_dmso__1,2.4554332989,1.3872184141,-0.6506498564000001,-1.8900768642,-0.1146899157,0.3547213395,0.3019074833
abx_mega__teix_dmso__4,1.0373177429,0.14228431730000002,-0.0665078507,-1.0885010201,0.2708414096,0.09918989710000001,0.1737248425
abx_mega__ethanol-10__1,3.4091126844,0.7651467163,0.0163008612,0.33415471880000003,-0.1572171319,0.1060296335,0.29925066110000004
abx_mega__inh_h2o__1,4.8386948235,-1.5623890646,0.3281616036,0.163974729,-1.0886919379,-0.0991175046,0.2195517523
abx_mega__rif_dmso__3,0.11865242790000001,-0.8298327383,-1.3897674496999999,-0.9465467362000001,0.144184582,0.029988723000000002,0.6375534961
abx_mega__van_dmso__3,1.4823694317,0.223190028,-0.94657928,-0.11527832730000001,1.3811692108,-0.0652289156,-0.0445341756
abx_mega__doxo_dmso__1,0.2739322971,-0.8290940616,-0.11358356480000001,-1.6774971662,-0.114163683,-1.0641909756,1.1441995016
abx_mega__tmp_dmso__1,0.7971398376000001,-0.0302195455,0.2090437913,-0.5065759217,-0.011465710300000001,0.4576137813,1.2984097291
abx_mega__ethanol-10__2,6.654767596,-0.2142861144,0.156288703,-0.5628886394,-0.5847029634,-0.2379356699,0.08480540780000001
abx_mega__tmp_dmso__2,0.557142197,-0.09715143820000001,0.1914919696,-0.7358977565,0.055385097200000004,0.219077186,1.5399425945
abx_mega__amyc-d_dmso__5,-2.8528549224,-0.45166188020000003,-1.6521756011000002,1.7595576955,0.9606707476,0.4533817047,-0.8646716205
abx_mega__novo_h2o__4,0.0820042096,-0.3975208528,-0.2527058608,-3.5277934386,1.2914517682,0.021006198400000002,0.11668622070000001
abx_mega__cro_h2o__2,5.1154086963,0.621299566,-0.30657057660000003,0.6800925502,-0.2855045002,0.12288031740000001,1.1862805591
abx_mega__cro_h2o__3,4.7460608712,-0.6537510390000001,-0.2669976047,0.0690848901,-0.638620278,-0.0736767668,0.7897125569
abx_mega__gen_h2o__2,-0.9705432251,-3.4022802863,-1.0307723459,1.8034974754,-1.5132484745,0.6242639232,0.2291508951
abx_mega__phos_h2o__4,2.5576911837000003,-3.4022802863,-0.0309958632,1.2636687302,-1.9652494854,0.4550097361,0.3785502986
abx_mega__metro_dmso__2,0.5399401995,-0.6304678923,-0.3804310446,0.051329992000000005,1.2542890818,0.612743742,0.1744039269
abx_mega__ery_h2o__2,-1.978587095,-1.2038947926999999,-2.3462003852,-0.6355700000000001,0.7876454059,0.0897334075,0.0675435379
abx_mega__sacet_h2o__1,6.2250962431,2.6731465093,-0.6041545277,3.0086459954,0.8906258525,-0.2323627858,-0.21662235500000002
abx_mega__nal_naoh__5,2.1478439567,-0.9739766119000001,-0.054980210200000004,1.0393897033,0.2089985611,0.0650422202,0.2656524802
abx_mega__bacit_h2o__4,4.9663595052,1.2808711743,-0.7076949831,0.1199381191,0.5213602361,-0.40197488060000003,-1.1456612943
abx_mega__cip_naoh__3,1.1495149658,-0.3884787323,0.1102525246,-0.9546299443,-0.018460327500000002,-0.2672554553,1.0438947443
abx_mega__ethanol-8__1,0.4772585432,-0.5451179963,-0.0590977866,-0.3625229781,-0.1647844436,-0.3469258405,0.9596312199
abx_mega__h2o-8a__1,6.607573515,1.6990467932,-0.22081801820000002,-0.6755486363000001,0.0016327890000000002,0.15650593640000002,-0.0309478735
abx_mega__ery_h2o__3,0.9454435208,-0.5726595250000001,-2.3057897995,1.1364678129,0.8165281951000001,0.2378242439,-0.8259991282
abx_mega__flavo_dmso__2,4.9519609453,-0.3654102275,-0.3165443482,0.4532699526,-0.3342762494,0.0170954618,1.6245490787999999
abx_mega__rif_dmso__4,0.5900307011,0.6669607266,-1.5399098517,-0.44597501440000004,-0.0047591478,-0.3484575981,0.8887881482000001
abx_mega__novo_h2o__5,-2.2122536962,-3.4022802863,-0.3411830033,-0.9021733236,0.7615916478,-1.8756583893,-1.0613605226
abx_mega__teix_dmso__5,0.3292013507,-0.8022359889,-0.0340696975,-0.29392495820000003,-0.23131398720000002,0.18146123900000002,0.5548929366
abx_mega__naoh-2__1,5.5138405462,0.5109263558,-0.31705369640000003,1.7575499723,0.6436264924,0.5637560875000001,1.1438115782
abx_mega__novo_h2o__6,-1.7757594324000001,-2.4239713571,-0.5697764494,-2.2880616785,0.7703477697000001,-1.4819383412,-1.9670270736000002
abx_mega__ctx_h2o__3,7.3313817531,0.461259038,-0.31765341210000003,-0.1260430246,-0.5006761838,-0.23235329770000002,-0.0542014043
abx_mega__rach_dmso__3,6.8784802704,0.6662554627,-0.25011430100000004,-0.6224222674000001,-0.2285719789,0.2716933791,-0.1989900668
abx_mega__valin_dmso__2,2.6051936428999998,1.0759288986,-0.8373204843000001,-0.4991096861,0.1261078601,0.45923292800000004,0.32296212290000004
