,-0.16295433223216507,-0.13036346578573205,-0.09777259933929902,-0.065181732892866,-0.03259086644643297,5.551115123125783e-17,0.03259086644643308,0.0651817328928661,0.09777259933929913,0.13036346578573219,0.16295433223216518,0.19554519867859818,0.22813606512503123,0.2607269315714643,0.29331779801789726,0.3259086644643303,0.35849953091076336,0.3910903973571964,0.42368126380362947,0.4562721302500624
thresh,-0.17924976545538157,0.17924976545538157,16,,,,,,,,,,,,,,,,,
unreg,0,0,0,1,128,2889,105,0,0,0,0,0,0,0,0,0,0,0,0,0
HypT,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PdhR,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crp,0,0,0,0,26,390,26,0,0,0,0,0,0,0,0,0,0,0,0,0
Nac,0,0,0,1,22,383,22,0,0,0,0,0,0,0,0,0,0,0,0,0
Fur,0,0,0,0,4,61,6,0,0,0,0,0,0,0,0,0,0,0,0,0
HypT and Nac,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PdhR and Crp,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PdhR and Nac,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PdhR and Fur,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crp and Nac,0,0,0,0,7,44,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Crp and Fur,0,0,1,0,1,17,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Nac and Fur,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"PdhR, Crp, and Fur",0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crp, Nac, and Fur",0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HypT, FecI, PdhR, Crp, Nac, and Fur",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
HypT_genes,[],[],[],[],[],['cydB' 'cysH' 'metL' 'metQ' 'metB' 'metN' 'metI'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
PdhR_genes,[],[],[],[],[],"['glcF' 'hha' 'ftsL' 'murE' 'glcD' 'rsmH' 'ftsQ' 'hemL' 'murG' 'murD'
 'glcB' 'mraY' 'mraZ' 'ddlB' 'murF' 'glcE' 'ftsA' 'ftsW' 'ftsZ' 'lpxC'
 'murC' 'glcG' 'ftsI']",[],[],[],[],[],[],[],[],[],[],[],[],[],[]
