,yiiQ
Cr_1,0.007252081340507037
Cr_2,0.001384415694295662
Cr_3,-0.013357003267863356
Cr_4,-0.029146492792787942
Cr_5,-0.04603515864235932
Cr_6,-0.05950450109977393
Fe_1,-0.005255607950151978
Fe_2,-0.03413662941966805
Fe_3,-0.10008666089680593
Fe_4,-0.1712752822552933
Fe_5,-0.21836187565270854
Fe_6,-0.27225142462874496
Cd_1,0.008014375401657807
Cd_2,0.01846123038174416
Cd_3,0.025163862135150386
Cd_4,0.03429486798287848
Cd_5,0.039863080751838566
Cd_6,0.05123905493961715
Zn_1,-0.007932803137208639
Zn_2,0.009719728688723756
Zn_3,0.028707107550815413
Zn_4,0.048787621718033226
Zn_5,0.07045856331238945
Zn_6,0.08173729956909848
Cu_1,0.013793709293621077
Cu_2,0.02357863440650873
Cu_3,0.03501707704422888
Cu_4,0.047903373255396335
Cu_5,0.055629615777630766
Cu_6,0.06798977617772732
Pb_1,-0.01390805181341461
Pb_2,-0.01403870499845942
Pb_3,-0.007294225116469296
Pb_4,0.013293410819770406
Pb_5,0.029755414668167394
Pb_6,0.0530778613860239
