,yjhI
Cr_1,0.012013179146903736
Cr_2,0.026968990695397738
Cr_3,0.04296305367216898
Cr_4,0.05247757883735302
Cr_5,0.060196918331998986
Cr_6,0.06389953330638845
Fe_1,0.003044370464210639
Fe_2,-0.0036921689370225204
Fe_3,-0.017265615417124895
Fe_4,-0.025892043060417376
Fe_5,-0.03111951045947828
Fe_6,-0.03338482701859105
Cd_1,0.0031161072462747674
Cd_2,0.008242210296570652
Cd_3,0.011477675589895726
Cd_4,0.013534705072709482
Cd_5,0.011030701812575358
Cd_6,0.013609693009555638
Zn_1,0.004680457723525304
Zn_2,0.004760236190260935
Zn_3,0.008207794097287247
Zn_4,0.013962057333009727
Zn_5,0.02091435896782219
Zn_6,0.032063719793560694
Cu_1,0.0005179770708273674
Cu_2,0.0003977021462575461
Cu_3,0.001402487635361593
Cu_4,0.0019294281843208567
Cu_5,-0.001264613793798778
Cu_6,-0.005283320064049043
Pb_1,0.004338091726104511
Pb_2,0.007505339179361602
Pb_3,0.010756139818878293
Pb_4,0.012939489398255457
Pb_5,0.018017604590668916
Pb_6,0.02216609119960001
