,A,AcoR
R2,,0.3858947226206091
xmin,,-0.8906666667
xmid,,2.089047783921684
xmax,,5.2353333333
ystart,,-2.0668177860951165
yend,,14.459515158735314
LBexp_1,-6.6709251724000005,2.1623333333
LBexp_2,-4.62735371,1.6204333333
LBexp_3,-4.3785940784,0.9772333333000001
LBtran_1,-2.9804661024,5.0120333333
LBtran_2,-3.2445714649,3.5987333333000002
LBtran_3,-3.4507917994,3.1406333333
LBstat_1,9.0967421403,4.2813333333
LBstat_2,7.7205910441,3.8398333333
LBstat_3,8.7897306421,3.8432333333
LBGexp_1,-8.5518372952,-0.0572666667
LBGexp_2,-7.0647713368,-0.21486666670000001
LBGexp_3,-7.7367851503,-0.025366666700000002
LBGtran_2,1.1874531939,-0.23146666670000002
LBGtran_3,-0.6674963441,0.0287333333
LBGstat_1,3.1369644615,-0.7502666667
LBGstat_2,3.759988104,-0.7362666667000001
LBGstat_3,3.158309653,-0.18336666670000001
S0_1,1.5538841712,2.0285333333
S0_2,1.6709932108999999,2.1879333333
S0_3,2.8060188667,2.4983333333
S1_1,-7.9388686058,3.6361333333
S1_2,-7.0333896223,3.8354333333
S1_3,-7.4438736249,4.0107333333
S2_1,-4.3143175819,2.7316333333
S2_2,-2.5385484038,2.9110333333
S2_3,-2.7639918953000002,2.4729333333
S3_1,4.0603965614,2.7788333333
S3_2,5.9344264125,2.9736333333
S4_1,12.9672202526,3.8764333333
S4_2,15.7990948625,4.0091333333
S4_3,15.3668671636,3.2355333333
S5_1,16.2368713451,4.1413333333
S5_2,16.9111383904,4.8383333333
S5_3,16.8064508447,4.3468333333
S6_1,18.1571413836,4.4910333333
S6_2,8.4342357773,3.3612333333
S6_3,18.2442600068,4.1710333333
S6/t_1,16.1162560626,4.3661333333
S6/t_2,4.7226591608,2.6865333333
S6_4,15.6340272224,3.2233333333
S6_5,16.6608572863,4.0064333333
S6_6,16.8639936009,3.9854333333
S7_4,14.0609820137,3.9675333333
S7_5,13.1537607422,3.7849333333
S7_6,12.4562021744,3.8982333333
S8_4,12.7154244729,3.3527333333
S8_5,4.3213079835,3.2714333333
G135_1,-11.6395929446,0.5963333333
G135_3,-8.5301464299,-0.3375666667
G150_1,-9.6553880333,2.5780333333
G150_2,-10.8619341946,1.3942333332999999
G150_3,-11.2113870405,3.1556333333
G180_1,-10.3571363802,-0.0856666667
G180_2,-11.0318125561,0.2303333333
G180_3,-9.9473767879,-0.2335666667
C30_1,0.8896798353,0.5099333333
C30_2,1.2330248026,0.9734333333
C90_1,-3.4800475158,0.37973333330000003
C90_2,-3.5099671879,0.1869333333
BI_1,3.0722846693,4.0318333333
BI_2,2.9509006975,4.0876333333
BC_2,11.2873753997,5.2078333333
BC/t_1,9.2572665413,5.0042333333
BC/t_2,8.9421083336,5.1108333333000004
BC_1,10.6938028092,4.7495333333000005
Sw_1,1.3857191107,4.9683333333
Sw_2,2.3420657649,5.2068333333
BT_1,1.3511136524,0.4095333333
BT_2,1.6474656947000001,-0.1283666667
B36_1,0.2011297826,0.5753333333
B36_2,-2.0523576078,0.1089333333
B60_1,7.4867198602,3.1419333333
B60_2,7.3747082563,2.8490333333
M9exp_1,-0.3411186808,0.17343333330000002
M9exp_2,0.26124619450000003,-0.0441666667
M9exp_3,0.0798724863,-0.1292666667
M9tran_1,-2.6592719050999998,1.0070333333
M9tran_2,-2.5000069085,0.5545333333
M9tran_3,-3.3293403002,1.0340333333
M9stat_1,18.1638687439,3.2616333333
M9stat_2,18.3747298804,3.3523333333
M9stat_3,18.6685436684,3.2370333333
M+G_1,0.025478050300000003,0.6397333333
M+G_2,-0.5375503731,-0.0720666667
M+G_3,-0.2129909775,-0.2202666667
Glu_1,-1.4717414236000002,0.8596333333
Glu_2,-1.1512260206,0.7627333333
Glu_3,-0.5241296119000001,0.6751333333
Fru_1,-3.7117313062,1.0381333333
Fru_2,-2.0941504758,1.5786333333
Fru_3,0.343475543,0.8468333333
Mal_1,-0.6790638319,1.3193333333
Mal_2,0.4275611181,1.5829333333
Mal_3,0.5301230358,2.1947333333
G+S_2,-1.8742144162,2.7746333333
G+S_3,-0.2216225065,3.0242333333
Pyr_1,0.24637396790000002,1.8992333333
Pyr_2,-2.9275041163,1.9638333333
Pyr_3,-2.3054915488,1.8286333333
Gly_1,0.14615916110000002,0.7209333333
Gly_2,-0.4728134356,1.2086333333
Gly_3,-0.852636578,0.5913333333
Glucon_1,1.0142960517,1.3747333333
Glucon_2,0.2558513009,1.8640333333
Glucon_3,0.10926798260000001,1.5101333333
aero_1,-4.2324509126,0.4742333333
aero_2,-3.3638399549,-0.4697666667
aero_3,-4.196715417,0.0830333333
