locus,gene_weight,gene_name,gene_product,COG,operon,regulator,AcoR,link
BSU_08060,0.17708880800000001,acoA,acetoin dehydrogenase E1 component (TPP-dependent alpha subunit),Energy production and conversion,acoA->acoL,"SigL,AcoR,Fnr,CcpA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU08060
BSU_08070,0.17315475800000002,acoB,acetoin dehydrogenase E1 component (TPP-dependent beta subunit),Energy production and conversion,acoA->acoL,"SigL,AcoR,Fnr,CcpA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU08070
BSU_08090,0.154732427,acoL,acetoin dehydrogenase E3 component (dihydrolipoamide dehydrogenase),Energy production and conversion,acoA->acoL,"SigL,AcoR,Fnr,CcpA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU08090
