,yhgN
Cr_1,-0.008271146477318312
Cr_2,-0.012278107038577669
Cr_3,-0.01292736778219412
Cr_4,-0.014520620380713457
Cr_5,-0.00976466245976903
Cr_6,-0.014963776157944916
Fe_1,-0.0571445010988781
Fe_2,-0.08783293364826016
Fe_3,-0.08876919565066052
Fe_4,-0.07990793184301505
Fe_5,-0.0826695108497174
Fe_6,-0.09617457302358062
Cd_1,-0.0020645852268001245
Cd_2,-0.0002676309397669524
Cd_3,0.0005691956868914489
Cd_4,-0.003671290842128311
Cd_5,-0.0072709234928233875
Cd_6,-0.005972359753060963
Zn_1,-0.03175562729979059
Zn_2,-0.0596384725890495
Zn_3,-0.08091652199246957
Zn_4,-0.08570748056297514
Zn_5,-0.10977886118729056
Zn_6,0.03842049250388973
Cu_1,0.008524051142377706
Cu_2,0.015878874837241833
Cu_3,0.006340659386034016
Cu_4,0.004942922445724822
Cu_5,0.011822709985019966
Cu_6,0.017963422433785292
Pb_1,-0.01480298608439646
Pb_2,-0.008949722991748758
Pb_3,-0.0003975398363797278
Pb_4,0.012372752560867723
Pb_5,0.021561762666437882
Pb_6,0.03223326579693995
