,ecfK
Cr_1,0.0034571012018983056
Cr_2,0.0161933963423676
Cr_3,0.02611365271359191
Cr_4,0.026231451687927683
Cr_5,0.02517147329685843
Cr_6,0.02623142438269918
Fe_1,-0.0076251983068474985
Fe_2,-0.02680742898264293
Fe_3,-0.03997815377109391
Fe_4,-0.059756570784335765
Fe_5,-0.06817250006722722
Fe_6,-0.07886607832737785
Cd_1,0.05864593073875411
Cd_2,-0.010655231251788426
Cd_3,0.10182530500729
Cd_4,0.23166769969524
Cd_5,0.3698383612002918
Cd_6,0.4977379963332773
Zn_1,-0.018243363183424302
Zn_2,0.016358677321638704
Zn_3,0.018140518299683
Zn_4,0.008456762531844669
Zn_5,-0.02161478872195657
Zn_6,-0.03709575728529118
Cu_1,-0.0034965940918979237
Cu_2,-0.004940848267177787
Cu_3,0.009949855973271063
Cu_4,0.017678303878002982
Cu_5,0.013291400515279802
Cu_6,0.014498859632980485
Pb_1,0.01527344008170645
Pb_2,0.03070554910022147
Pb_3,0.04162301883717215
Pb_4,0.045795881362766765
Pb_5,0.05760456214305814
Pb_6,0.06449261581061477
