,BSU_misc_RNA_60
M9exp_1,13.3565
M9exp_2,12.623
M9exp_3,12.705
M9tran_1,12.7342
M9tran_2,11.9933
M9tran_3,12.6809
M9stat_1,10.933
M9stat_2,10.311
M9stat_3,9.9495
MG-0.1_1,13.4819
MG-0.1_2,12.3308
MG-0.1_3,13.8213
MG-0.2_2,13.2645
MG-0.2_3,13.6522
MG+5_1,13.2431
MG+5_2,12.8686
MG+5_3,13.0938
MG+10_1,13.8198
MG+10_2,13.3787
MG+10_3,11.8289
MG+15_1,12.9086
MG+15_2,13.1448
MG+15_3,13.3608
MG+25_1,13.424
MG+25_2,13.4886
MG+25_3,13.4018
MG+45_1,14.007
MG+45_2,12.3419
MG+45_3,13.4634
MG+60_2,12.787
MG+60_3,12.7814
MG+90_2,12.5643
MG+90_3,13.7284
MG+120_1,12.4676
MG+120_2,13.3399
MG+120_3,13.1639
MG+150_1,12.8617
MG+150_3,14.1994
GM-0.1_1,13.2033
GM-0.1_2,12.6881
GM-0.1_3,13.9526
GM-0.2_1,13.0802
GM-0.2_2,13.2563
GM-0.2_3,13.5214
GM+5_1,12.5965
GM+5_2,13.3165
GM+5_3,13.8495
GM+10_2,13.41
GM+10_3,12.4722
GM+15_1,13.5112
GM+15_2,14.0739
GM+15_3,14.1765
GM+25_1,13.6699
GM+25_2,14.028
GM+25_3,13.9106
GM+45_1,13.8984
GM+45_2,12.4573
GM+45_3,12.8536
GM+60_1,13.8596
GM+60_2,12.572
GM+60_3,13.0897
GM+90_1,13.236
GM+90_2,13.622
GM+90_3,12.8386
GM+120_1,12.7243
GM+120_3,13.248
GM+150_1,13.4116
GM+150_2,12.652
GM+150_3,13.0526
BT_1,12.6918
BT_2,12.175999999999998
B36_1,12.6972
B36_2,11.9881
B60_1,11.9263
B60_2,12.5535
S0_1,10.6674
S0_2,10.8633
S0_3,11.3836
S1_1,13.425
S1_2,13.5031
S1_3,13.4122
S2_1,12.1806
S2_2,11.6296
S2_3,11.8453
S3_1,11.757
S3_2,12.1058
S4_1,12.1876
S4_2,12.4788
S4_3,12.5038
S5_1,11.8717
S5_2,12.5031
S5_3,13.0489
S6_1,13.0771
S6_2,10.6672
S6_3,13.5127
S6/t_1,12.9285
S6/t_2,9.7377
S6_4,12.0534
S6_5,12.7335
S6_6,12.879
S7_4,13.5437
S7_5,12.8704
S7_6,12.6113
S8_4,12.5905
S8_5,11.3073
G135_1,10.4522
G135_3,9.1613
G150_1,10.5581
