,-0.06155140960976027,-0.04103427307317351,-0.020517136536586753,6.938893903907228e-18,0.020517136536586766,0.04103427307317353,0.061551409609760285,0.08206854614634704,0.1025856826829338,0.12310281921952057,0.14361995575610734,0.16413709229269408,0.18465422882928084,0.20517136536586758,0.22568850190245435,0.2462056384390411,0.2667227749756279,0.2872399115122146,0.30775704804880144,0.32827418458538815
thresh,-0.0512928413414669,0.0512928413414669,1,,,,,,,,,,,,,,,,,
unreg,2,11,320,3871,260,18,10,4,1,4,1,1,2,5,4,1,0,0,0,0
unreg_genes,['nagB' 'QstR'],[],[],[],[],[],"['PN96_RS23045' 'PN96_RS05965' 'PN96_RS19945' 'cysC' 'PN96_RS11980'
 'PN96_RS05970' 'PN96_RS15340' 'galU' 'yqfB' 'cysN']",['PN96_RS15360' 'cysD' 'PN96_RS05385' 'PN96_RS20910'],['PN96_RS15365'],['comM' 'PN96_RS15345' 'PN96_RS15350' 'PN96_RS20660'],['PN96_RS20665'],['PN96_RS15355'],['PN96_RS15235' 'PN96_RS15240'],"['PN96_RS15230' 'PN96_RS15215' 'PN96_RS15220' 'PN96_RS15225'
 'PN96_RS03995']",['PN96_RS15205' 'PN96_RS15190' 'PN96_RS15210' 'PN96_RS15200'],['PN96_RS15195'],[],[],[],[]
