,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A
0,RichMedia__BHIN_Growth_Late,3.0117504978251057,0.3424107891789259,2.0,0.0,3.2538714888049616,1.0,2.76962950684525
1,RichMedia__BHIN_Growth_Mid,2.4868912234461704,0.813705910551791,2.0,2.0,1.9115142562034249,3.0,3.062268190688916
2,RichMedia__BHIN_Growth_Stat,3.4905942633641382,0.05691438516685565,2.0,4.0,3.450349715665592,5.0,3.530838811062685
3,RichMedia__LBv2_Growth_Late,1.1384368508545704,0.07955837944022938,2.0,6.0,1.0821805812521716,7.0,1.1946931204569688
4,RichMedia__LBv2_Growth_Mid,4.85722573273506e-15,0.4064287289303636,2.0,8.0,-0.2873885102956844,9.0,0.2873885102956941
5,RichMedia__LBv2_Growth_Stat,8.361787464699647,3.983309185235099,2.0,10.0,5.545162528257247,11.0,11.178412401142047
6,RichMedia__MHB_Rich_Mid,1.1824245232696076,0.6275309066841902,2.0,12.0,0.7386931637490741,13.0,1.626155882790141
7,RichMedia__NBO_Rich_Mid,0.5188039045155827,0.4579200647284571,2.0,14.0,0.1950055215047079,15.0,0.8426022875264575
8,Carbon__M9Na_Arabinose_Mid,-0.7199940389883075,9.897964796767965,2.0,16.0,-7.718912066728664,17.0,6.278923988752049
9,Carbon__M9Na_Galactose_Mid,2.7918388058635406,1.818962751031941,2.0,18.0,4.078039701843964,19.0,1.5056379098831172
10,Carbon__M9Na_GlcNAcGrowth_Late,-24.236955017982517,0.4580062441069536,2.0,20.0,-24.560814339016325,21.0,-23.91309569694871
11,Carbon__M9Na_GlcNAcGrowth_Mid,-23.050756164364977,0.4631762169251163,2.0,22.0,-23.37827120823706,23.0,-22.723241120492897
12,Carbon__M9Na_GlcNAcGrowth_Stat,-21.892318983796592,0.2682642994862275,2.0,24.0,-22.08201048911356,25.0,-21.70262747847962
13,Carbon__M9Na_GlcNAc_Mid,-22.90856797644703,0.14341281813669254,2.0,26.0,-22.807159800233503,27.0,-23.00997615266056
14,Carbon__M9Na_Gluconate_Mid,-24.90502439358908,1.4607139815339512,2.0,28.0,-23.872143631872422,29.0,-25.93790515530574
15,Carbon__M9Na_Glucosamine_Mid,-21.47543060018182,0.8002287951223037,2.0,30.0,-20.9095833926501,31.0,-22.04127780771354
16,Carbon__M9Na_Glycerol_Mid,6.024700734611598,1.2632548264265009,2.0,32.0,5.1314446804787845,33.0,6.917956788744412
17,Carbon__M9Na_Maltose_Mid,-16.264527605854532,3.2721030795332093,2.0,34.0,-18.57825388213385,35.0,-13.950801329575215
18,Carbon__M9Na_Mannitol_Mid,2.126599652769493,6.569294255042425,2.0,36.0,-2.518592862580835,37.0,6.771792168119821
19,Carbon__M9Na_Trehalose_Mid,7.107521456653661,6.163703505493968,2.0,38.0,11.46591800261174,39.0,2.749124910695581
20,Carbon__M9Na_ethanol_Mid,3.1639462748508076,0.6026799836698583,2.0,40.0,3.590105378189162,41.0,2.737787171512453
21,Carbon__M9Na_fructose_Mid,15.752844681329004,1.3626704215779635,2.0,42.0,14.789291185708894,43.0,16.716398176949113
22,Carbon__M9Na_fumarate_Mid,-22.888582425600852,1.5896217412889164,2.0,44.0,-24.01261473838781,45.0,-21.76455011281389
23,Carbon__M9Na_glucoseGrowth_Late,15.505778047809411,1.2566839581799514,2.0,46.0,14.617168299172016,47.0,16.394387796446807
24,Carbon__M9Na_glucoseGrowth_Mid,2.4424906541753444e-15,3.9912048868887995,2.0,48.0,2.82220804062396,49.0,-2.822208040623955
25,Carbon__M9Na_glucoseGrowth_Stat,-22.234834946598724,1.9355042056262515,2.0,50.0,-20.86622679778532,51.0,-23.60344309541213
26,Carbon__M9Na_ribose_Mid,-11.057477644442308,1.5223991934045449,2.0,52.0,-9.980978851113024,53.0,-12.133976437771592
27,Carbon__M9Na_succinate_Mid,-20.114234487213388,3.9535131556778578,2.0,54.0,-22.909790449103426,55.0,-17.318678525323346
28,Carbon__M9Na_sucrose_Mid,-25.99737921469451,0.5024600181835843,2.0,56.0,-26.35267210082724,57.0,-25.642086328561785
29,TF__LBv2_HapROver_Late,2.644252862496831,0.4166566894870674,2.0,58.0,2.9388736330598744,59.0,2.3496320919337883
30,TF__LBv2_HapROver_Mid,1.9524060694536196,0.21491459027038143,2.0,60.0,1.8004385052975045,61.0,2.1043736336097347
31,TF__LBv2_HapROver_Stat,1.962085702777681,0.3861834762081772,2.0,62.0,1.6890127479686852,63.0,2.235158657586677
32,TF__LBv2_LuxOOver_Late,3.6022846844684246,0.039953976462509894,2.0,64.0,3.574032956776416,65.0,3.630536412160433
33,TF__LBv2_LuxOOver_Mid,1.7338447313871563,0.6837244924349488,2.0,66.0,2.217310956451239,67.0,1.2503785063230737
34,TF__LBv2_LuxOOver_Stat,-0.06482673472460604,0.6697842698960915,2.0,68.0,-0.5384357339002132,69.0,0.4087822644510011
35,TF__LBv2_QstROver_Late,4.003878274195079,0.1968359624364946,2.0,70.0,3.8646942303748535,71.0,4.143062318015305
36,TF__LBv2_QstROver_Mid,12.486127749314043,0.5627159839965317,2.0,72.0,12.088227461148035,73.0,12.884028037480052
37,TF__LBv2_QstROver_Stat,8.433050940264366,0.11749091279564085,2.0,74.0,8.51612956142996,75.0,8.34997231909877
38,TF__LBv2_TfoXOver_Late,18.931647941471446,0.5141159082478758,2.0,76.0,18.568113096433493,77.0,19.2951827865094
39,TF__LBv2_TfoXOver_Mid,-0.17119014683481532,0.03853247730268784,2.0,78.0,-0.1984367228314626,79.0,-0.143943570838168
40,TF__LBv2_TfoXOver_Stat,0.1816589876981852,0.20720704384123964,2.0,80.0,0.0351414818884264,81.0,0.328176493507944
41,Stress-I__20-300-T1,0.1625599566819153,0.6426440350092816,2.0,82.0,-0.2918579983622327,83.0,0.6169779117260633
42,Stress-I__20-300-T2,0.7658537740337071,0.6703312544621634,2.0,84.0,0.2918579983622263,85.0,1.239849549705188
43,Stress-II-1__LBv2_LowpH_Mid,-0.0160822471819596,0.12067614375347387,2.0,86.0,0.0692486723935644,87.0,-0.1014131667574836
44,Stress-II-1__LBv2_highSalt_Mid,5.848654025517348,0.04403824994196246,2.0,88.0,5.879793770682898,89.0,5.817514280351799
45,Stress-II-2__M9Na_glucoseKanamycin_Mid,-18.691331531648622,0.4890670723354618,2.0,90.0,-19.03715417495208,91.0,-18.345508888345165
46,Stress-III__R_wt,-2.3973878437999474e-15,0.04545063049316961,2.0,92.0,0.0321384490309219,93.0,-0.0321384490309267
47,Stress-III__R_s,0.6309718052012341,0.115464336085608,2.0,94.0,0.71261742023257,95.0,0.549326190169898
48,Competence-condition__OSS_TfoXOver_Stat,-0.7428851402853339,3.662635961771599,2.0,96.0,-3.332759865871744,97.0,1.846989585301076
49,Competence-condition__OSS_VectorOnly_Stat,-3.2751579226442118e-15,1.27494036111541,2.0,98.0,0.9015189749531288,99.0,-0.9015189749531354
50,Competence-Recovery__LBv2_TfoXOver_Recov,8.912184792003455,9.633915298531884,2.0,100.0,15.724391628972173,101.0,2.099977955034736
51,Competence-Recovery__LBv2_VectorOnly_Recov,-6.106226635438361e-16,0.25695050138723263,2.0,102.0,-0.1816914419601962,103.0,0.181691441960195
