,cpsG
Cr_1,0.003714966331008834
Cr_2,0.0004994282322527727
Cr_3,0.006762713183055844
Cr_4,0.007746447679723494
Cr_5,0.009436298036350816
Cr_6,0.010022969526771756
Fe_1,-0.017034333572934438
Fe_2,-0.021290968388462683
Fe_3,0.002903606864597908
Fe_4,0.03263769111549898
Fe_5,0.049093860320580406
Fe_6,0.06874540987099863
Cd_1,0.0048958630672692105
Cd_2,0.01497745704561756
Cd_3,0.016088506406123422
Cd_4,0.023439394067831992
Cd_5,0.02117730289892401
Cd_6,0.02257304619945294
Zn_1,-0.02503797124489054
Zn_2,-0.044625324611647546
Zn_3,-0.08134371476315222
Zn_4,-0.07269458325354226
Zn_5,-0.11935606474410256
Zn_6,0.004580528372642207
Cu_1,0.009352842232815557
Cu_2,0.019787541072549045
Cu_3,0.022163033163599
Cu_4,0.02847984528865545
Cu_5,0.038350524073366365
Cu_6,0.041146756821241116
Pb_1,0.002575230281840289
Pb_2,0.008950542435366816
Pb_3,0.02041962764241593
Pb_4,0.031190869031512875
Pb_5,0.044857662847653364
Pb_6,0.040323377965965086
