gene_id,USA300HOU_RS07955
name,<i> Not Available </i>
operon,<i> Not Available </i>
product,hypothetical protein
cog,<i> Not Available </i>
regulator(s),Genomic Island 7
link,"<a href=""https://aureowiki.med.uni-greifswald.de/SAUPAN001319000"">AureoWiki</a>"
