,yjiH
Cr_1,0.0050304233477306394
Cr_2,0.008942766874439003
Cr_3,0.003629944060486332
Cr_4,0.0013957444269755426
Cr_5,-0.004541865206878109
Cr_6,-0.010341212402839287
Fe_1,-0.01436639016879881
Fe_2,-0.031078436445788307
Fe_3,-0.04126682498659049
Fe_4,-0.05034766590344037
Fe_5,-0.0463565685969089
Fe_6,-0.04163337869552404
Cd_1,0.0010914800635050534
Cd_2,0.00397116324946103
Cd_3,0.0053214884083347645
Cd_4,0.006269782197301367
Cd_5,0.0069580699741844864
Cd_6,0.00787991313905593
Zn_1,-0.010758963775266778
Zn_2,-0.0170251829408334
Zn_3,-0.015069965195776363
Zn_4,-0.011555197875839404
Zn_5,-0.003105953159172794
Zn_6,0.003401179475973236
Cu_1,0.002837815406244617
Cu_2,0.0018091238340913961
Cu_3,0.0034778392335366674
Cu_4,0.0037826893244944744
Cu_5,0.006171746857092086
Cu_6,0.011429218954495505
Pb_1,0.0009940598512944417
Pb_2,0.0009993328810314432
Pb_3,-0.0008827551456260268
Pb_4,0.005575238897808979
Pb_5,0.006939090215313515
Pb_6,0.0036702766917796944
