,ydiF
Cr_1,-0.00848602556094521
Cr_2,0.00544199325425774
Cr_3,0.04049412090304954
Cr_4,0.056839723698577975
Cr_5,0.0549058820474717
Cr_6,0.038336395110630535
Fe_1,0.01955412038429299
Fe_2,0.04691785918594578
Fe_3,0.10816575330307307
Fe_4,0.2128093601482555
Fe_5,0.27659629190424595
Fe_6,0.2685481790042205
Cd_1,0.0072475583937468575
Cd_2,0.010640268145161213
Cd_3,0.022025427962443826
Cd_4,0.027422762519469828
Cd_5,0.032741080480654286
Cd_6,0.04111676915974048
Zn_1,-0.017958290715136334
Zn_2,-0.04700574722380596
Zn_3,-0.06755032164360725
Zn_4,-0.06066820469912052
Zn_5,-0.06193501429594815
Zn_6,-0.046956872457236364
Cu_1,0.0012396592662072036
Cu_2,0.004029494777393182
Cu_3,0.0007081096611682718
Cu_4,0.011838042266614666
Cu_5,0.017290881674834762
Cu_6,0.01863247067030831
Pb_1,0.0044468191328419495
Pb_2,0.005223787201333929
Pb_3,0.016885061488699886
Pb_4,0.026308235054864657
Pb_5,0.02668192354214808
Pb_6,0.025825969310319705
